dimension_id,behavior_dimension,behavior_reference,target,evaluation_mode,primary_representation,null_reference,n_scenarios,n_logs,raw_mmd2,null_q95,bdd_to_null_q95_ratio,z_bdd,significance,semantic_delta_target_minus_reference,semantic_95ci,semantic_direction,evidence_status,parent_bdd_result_id,shared_parent_bdd,evidence_gap
OVR.ALL,总体行为漂移,pdm_closed_conservative_v1,pdm_closed_assertive_v1,paired,B,within_scenario_pair_label_swap; common seeded sign stream across representations,310,257,0.0081873946368312,0.0015644479510831,5.233408136820748,21.162317701590048,显著,"mean_speed +1.281 m/s; 95% CI [+1.120, +1.448]; rms_accel +0.235 m/s²; 95% CI [+0.206, +0.264]","[1.1203930219549374, 1.447965922337862]; [0.2060776420565935, 0.263806852543617]",MIXED_NO_SINGLE_STYLE_DIRECTION,POST_HOC_STANDARDIZED_DESCRIPTIVE_EVALUATION,stage7_posthoc:B:overall,False,N/A
LON.FREE_FLOW_SPEED,自由流速度,N/A,N/A,N/A,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A_NO_FROZEN_FREE_FLOW_SLICE,N/A,False,没有冻结的同维度场景、BDD及绑定semantic delta；N/A不等同于没有差异。
LON.ACCEL_DECEL,纵向加速/减速,pdm_closed_longitudinal_conservative_v2,pdm_closed_longitudinal_assertive_v2,paired,B,representation-specific paired within-scenario label-swap randomization inherited from Stage6J/K,183,156,0.0054061333683716,0.0019746451534188,2.7377746118140065,10.328348889183347,显著,"delta_mean_speed +0.915 m/s; 95% CI [+0.758, +1.078]; delta_rms_accel +0.182 m/s²; 95% CI [+0.146, +0.217]","[0.7577778718783349, 1.078397085024687]; [0.1455580076352681, 0.2174533717700309]",TARGET_HIGHER_LONGITUDINAL_EXCITATION,INHERITED_PRE_FROZEN_CONFIRMATORY_RESULT,stage6jk:B:dose100:overall,False,N/A
LON.CAR_FOLLOWING,跟车行为,pdm_closed_longitudinal_conservative_v2,pdm_closed_longitudinal_assertive_v2,paired,B,representation-specific paired within-scenario label-swap randomization inherited from Stage6J/K,60,52,0.0127901303639782,0.0074211399892729,1.7234724560466528,5.254514960298006,显著,"delta_mean_speed +0.917 m/s; 95% CI [+0.625, +1.246]; delta_rms_accel +0.234 m/s²; 95% CI [+0.187, +0.280]","[0.6252613902723684, 1.2458178615491982]; [0.1865049385986711, 0.2799614980929348]",TARGET_MORE_ACTIVE_FOLLOWING,INHERITED_PRE_FROZEN_CONFIRMATORY_RESULT,stage6jk:B:dose100:following_interaction,False,N/A
LON.CLOSING_RESPONSE,逼近前车响应,pdm_closed_interaction_long_headway_v2,pdm_closed_interaction_short_headway_v2,paired,B,representation-specific paired within-scenario label-swap randomization inherited from Stage6S-v3,80,11,0.047038709388353,0.0063629697605726,7.392571575590812,30.60300889203967,显著,"delta_mean_accel_during_closing_mps2 +0.085 m/s²; 95% CI [+0.022, +0.450]","[0.021795156912542267, 0.44966581374107795]",TARGET_MAINTAINS_MORE_ACCEL_DURING_CLOSING,INHERITED_PRE_FROZEN_CONFIRMATORY_RESULT,stage6s_v3:B:following_interaction,True,N/A
LON.COMFORT,纵向平顺性,pdm_closed_longitudinal_conservative_v2,pdm_closed_longitudinal_assertive_v2,paired,B,representation-specific paired within-scenario label-swap randomization inherited from Stage6J/K,183,156,0.0054061333683716,0.0019746451534188,2.7377746118140065,10.328348889183347,显著,"delta_rms_jerk +0.228 m/s³; 95% CI [+0.142, +0.319]","[0.1423476548463895, 0.3187921957267332]",TARGET_HIGHER_LONGITUDINAL_JERK,SHARED_PARENT_BDD_SEMANTIC_PROXY,stage6jk:B:dose100:overall,False,N/A
LAT.LANE_KEEPING,车道保持,N/A,N/A,N/A,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A_NO_FROZEN_LANE_KEEPING_SLICE,N/A,False,没有冻结的同维度场景、BDD及绑定semantic delta；N/A不等同于没有差异。
LAT.LANE_CHANGE,变道行为,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_sharp_dose100_54.0m,paired,B,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,80,79,0.0010750406060657,0.0024668073910016,0.4358024100249059,-0.0650366602360071,不显著（预注册Primary FAIL；raw p=0.411906）,duration -0.200160 s; RMS lateral accel +0.055832 m/s²; peak yaw rate +0.014404 rad/s,"duration [-0.20041489601135254, -0.19967222213745117]; RMS lateral accel [0.044970850180745814, 0.06286575735295391]; peak yaw rate [0.013368515271013237, 0.014992355302704041]",TARGET_SHORTER_DURATION_HIGHER_LATERAL_EXCITATION,PROSPECTIVE_PLANNER_MECHANISM_POSITIVE_B_PRIMARY_BDD_FAILED,stage7l_e:B:dose100:LAT.LANE_CHANGE,False,N/A
LAT.DYNAMICS,横向动态,pure_lateral_execution_gentle_dose0_60.0m,pure_lateral_execution_sharp_dose100_54.0m,paired,B,representation-specific same-scenario within-pair label-swap; 100000 randomizations; plus-one p; own null q95,38,38,0.006406696043671,0.0074815804475513,0.8563292326513613,1.5142694880034469,不显著（secondary Holm p=1.0；LOW_N mixed proxy）,N/A,N/A_TASK_SPECIFIC_SEMANTIC_DELTA_NOT_COMPUTED,MIXED_PROXY,PROSPECTIVE_SECONDARY_LOW_N_MIXED_PROXY_BDD_NOT_SIGNIFICANT,stage7l_e:B:dose100:LAT.DYNAMICS,False,38场景slice没有单独冻结semantic delta；不得借用all-80语义指标冒充task-specific结果。
INT.FRONT_GAP_THW,前车间距/车头时距交互,pdm_closed_interaction_long_headway_v2,pdm_closed_interaction_short_headway_v2,paired,B,representation-specific paired within-scenario label-swap randomization inherited from Stage6S-v3,80,11,0.047038709388353,0.0063629697605726,7.392571575590812,30.60300889203967,显著,"delta_median_front_gap_m -4.202 m; 95% CI [-5.791, -1.181]; delta_median_finite_thw_s -2.670 s; 95% CI [-3.687, -2.275]","[-5.790570259094238, -1.181044578552246]; [-3.6869988441467285, -2.2747795581817627]",TARGET_SHORTER_GAP_OR_THW,INHERITED_PRE_FROZEN_CONFIRMATORY_RESULT,stage6s_v3:B:following_interaction,True,N/A
INT.LONG_FOLLOWING,纵向跟车交互响应,pdm_closed_interaction_long_headway_v2,pdm_closed_interaction_short_headway_v2,paired,B,representation-specific paired within-scenario label-swap randomization inherited from Stage6S-v3,80,11,0.047038709388353,0.0063629697605726,7.392571575590812,30.60300889203967,显著,"delta_mean_accel_during_following_pressure_mps2 +0.085 m/s²; 95% CI [+0.022, +0.450]","[0.021795156912542267, 0.44966581374107795]",TARGET_MORE_ACCEL_UNDER_FOLLOWING_PRESSURE,INHERITED_PRE_FROZEN_CONFIRMATORY_RESULT,stage6s_v3:B:following_interaction,True,N/A
INT.LATERAL_GAP,横向间隙接受/横向交互,N/A,N/A,N/A,B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A_NO_FROZEN_LATERAL_GAP_OUTCOME,N/A,False,没有冻结的同维度场景、BDD及绑定semantic delta；N/A不等同于没有差异。
INT.MERGE_YIELD_CUTIN,汇入/让行/切入响应,pdm_closed_conservative_v1,pdm_closed_assertive_v1,paired,B,within_scenario_pair_label_swap; common seeded sign stream across representations,63,57,0.0149025895847136,0.0087286992004506,1.7073093301169444,4.946576033681239,显著,"mean_front_distance +0.062 m; 95% CI [-3.355, +3.753]","[-3.3551741763051135, 3.7530091471329303]",N/A_DENSE_OR_VULNERABLE_PROXY_NOT_A_MERGE_YIELD_CUTIN_EVENT,POST_HOC_STANDARDIZED_DESCRIPTIVE_EVALUATION,stage7_posthoc:B:dense_or_vulnerable_interaction,False,N/A
