schema_version,report_series_id,dimension_id,dimension_name_zh,reference,target,task_slice,evaluation_mode,n_scenarios,n_logs,representation,raw_mmd2,null_q95,z_bdd,raw_p,corrected_p,null_or_calibration,semantic_delta_target_minus_reference,semantic_ci95,semantic_direction,interpretation,mapping_strength,evidence_status,reason_code,parent_bdd_result_id,source_stage,source_file,source_sha256,raw_mmd2_cross_rep_comparison_prohibited
unified_bdd_reporting_schema_v1,posttraining_frozen_behavior_profile_old64_primary,OVR.ALL,总体行为漂移,pdm_closed_conservative_v1,pdm_closed_assertive_v1,Stage7 locked 5-task confirmation,paired,310,257,old64,0.0044694,N/A,N/A,9.9999e-06,N/A,Legacy locked Monte-Carlo paired null; q95/Z not archived,mean speed +1.281 m/s; RMS accel +0.235 m/s²,"speed [1.122, 1.446] m/s; RMS accel [0.206, 0.263] m/s²",TARGET_HIGHER_SPEED_AND_LONGITUDINAL_EXCITATION; overall=MIXED,总体行为分布显著漂移；不表示安全性、优劣或单一风格标签。,EXACT_DIMENSION,AVAILABLE,,stage7_overall_old64,Stage7 locked confirmation,/Users/liuqing/Projects/01_E2E_QA_Code/E2E-Evaluation/outputs/stage7_m6_6_confirmation_evidence_v1/m6_6_confirmation_evidence_summary.json,7c21a3b36da8670aed1f29a4af1d4a91cf6b55c2e4fc5713915445a948b2bb2c,True
unified_bdd_reporting_schema_v1,posttraining_frozen_behavior_profile_old64_primary,LON.FREE_FLOW_SPEED,自由流速度,N/A,N/A,fixed taxonomy row,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,没有冻结的纯自由流BDD及绑定的自由流semantic delta。,INSUFFICIENT_FOR_DIMENSION_CLAIM,EVIDENCE_GAP_BDD_NOT_COMPUTED,EVIDENCE_GAP_BDD_NOT_COMPUTED,N/A,schema gap audit,docs/unified_bdd_reporting_schema_freeze_v1.json,recorded in output manifest,True
unified_bdd_reporting_schema_v1,posttraining_frozen_behavior_profile_old64_primary,LON.ACCEL_DECEL,纵向加速/减速,pdm_closed_longitudinal_conservative_v2,pdm_closed_longitudinal_assertive_v2,Stage6J/K pure-longitudinal dose100 overall,paired,183,156,old64,0.00500090437272193,0.002096206501470476,9.228485941359448,9.99990000099999e-06,3.999960000399996e-05,paired randomization null; 100000 permutations; Holm within frozen family,mean speed +0.915 m/s; RMS accel +0.182 m/s²,"speed [0.758, 1.078] m/s; RMS accel [0.146, 0.217] m/s²",TARGET_HIGHER_LONGITUDINAL_EXCITATION,纯纵向处置产生显著总体纵向行为漂移。,TREATMENT_ALIGNED_PROXY,AVAILABLE,,stage6jk_old64_dose100_overall,Stage6J/K blind,/Users/liuqing/Projects/01_E2E_QA_Code/E2E-Evaluation/outputs/stage6v_stage6jk_paired_blind_v1/stage6v_stage6jk_paired_results.csv,9063521cda90cbc98f2693a81913c64005e3003881cb33db44e603ade66f7f58,True
unified_bdd_reporting_schema_v1,posttraining_frozen_behavior_profile_old64_primary,LON.CAR_FOLLOWING,跟车行为,pdm_closed_longitudinal_conservative_v2,pdm_closed_longitudinal_assertive_v2,Stage6J/K following_interaction dose100,paired,60,52,old64,0.017067230312720557,0.009226962090143911,5.63432382209787,0.0006899931000689993,0.006899931000689993,paired randomization null; 100000 permutations; Holm within frozen family,following mean speed +0.917 m/s; RMS accel +0.234 m/s²,"speed [0.625, 1.246] m/s; RMS accel [0.187, 0.280] m/s²",TARGET_CLOSER_OR_MORE_ACTIVE_FOLLOWING (speed/accel only),跟车slice BDD显著；前车间距/THW方向不稳定，不能把本行解释为稳定更近。,TASK_SLICE_PROXY,AVAILABLE,,stage6jk_old64_dose100_following,Stage6J/K blind,/Users/liuqing/Projects/01_E2E_QA_Code/E2E-Evaluation/outputs/stage6v_stage6jk_paired_blind_v1/stage6v_stage6jk_paired_results.csv,9063521cda90cbc98f2693a81913c64005e3003881cb33db44e603ade66f7f58,True
unified_bdd_reporting_schema_v1,posttraining_frozen_behavior_profile_old64_primary,LON.CLOSING_RESPONSE,逼近前车响应,pdm_closed_interaction_long_headway_v2,pdm_closed_interaction_short_headway_v2,Stage6S-v3 following interaction confirmation,paired,80,11,old64,0.06320194679531671,0.009245847562801588,27.976397758226604,9.99990000099999e-06,N/A,paired randomization null; 100000 permutations; frozen Stage6S-v3 confirmation,delta_mean_accel_during_closing_mps2 +0.085 m/s²,"[0.022, 0.450] m/s²",TARGET_HIGHER_CLOSING_ACCELERATION,逼近阶段维持更多加速度。,EXACT_DIMENSION,AVAILABLE,,stage6s_v3_old64_following,Stage6S-v3 confirmation,/Users/liuqing/Projects/01_E2E_QA_Code/E2E-Evaluation/outputs/stage6s_v3_confirmation_representations_v1/stage6s_v3_confirmation_representation_results.csv,9c6c07fe3bd63700ebf7dfd4cc7ffa070a1fa7c9ebb88787fc67617eb7b75402,True
unified_bdd_reporting_schema_v1,posttraining_frozen_behavior_profile_old64_primary,INT.LONG_FOLLOWING,纵向跟车交互响应,pdm_closed_interaction_long_headway_v2,pdm_closed_interaction_short_headway_v2,Stage6S-v3 following interaction confirmation,paired,80,11,old64,0.06320194679531671,0.009245847562801588,27.976397758226604,9.99990000099999e-06,N/A,paired randomization null; 100000 permutations; frozen Stage6S-v3 confirmation,delta_mean_accel_during_following_pressure_mps2 +0.085 m/s²,"[0.022, 0.450] m/s²",TARGET_HIGHER_FOLLOWING_PRESSURE_ACCELERATION,跟车压力阶段维持更多加速度。,EXACT_DIMENSION,AVAILABLE,,stage6s_v3_old64_following,Stage6S-v3 confirmation,/Users/liuqing/Projects/01_E2E_QA_Code/E2E-Evaluation/outputs/stage6s_v3_confirmation_representations_v1/stage6s_v3_confirmation_representation_results.csv,9c6c07fe3bd63700ebf7dfd4cc7ffa070a1fa7c9ebb88787fc67617eb7b75402,True
unified_bdd_reporting_schema_v1,posttraining_frozen_behavior_profile_old64_primary,LON.COMFORT,纵向平顺性,pdm_closed_longitudinal_conservative_v2,pdm_closed_longitudinal_assertive_v2,Stage6J/K pure-longitudinal dose100 overall (shared parent),paired,183,156,old64,0.00500090437272193,0.002096206501470476,9.228485941359448,9.99990000099999e-06,3.999960000399996e-05,paired randomization null; 100000 permutations; Holm within frozen family,RMS jerk +0.228 m/s³,"[0.142, 0.319] m/s³",TARGET_HIGHER_LONGITUDINAL_JERK,与LON.ACCEL_DECEL共享parent BDD；不是独立平顺性BDD检验。,TREATMENT_ALIGNED_PROXY,PROXY_ONLY_NOT_CONFIRMATORY,PROXY_ONLY_NOT_CONFIRMATORY,stage6jk_old64_dose100_overall,Stage6J/K blind,/Users/liuqing/Projects/01_E2E_QA_Code/E2E-Evaluation/outputs/stage6k_realized_longitudinal_dose_curve_v2_runtime_repaired/stage6k_kinematic_contrasts.csv,bb90043f04a4771d209eca43385529d8db010b9b78d810d4c63c7cc3d99ee205,True
unified_bdd_reporting_schema_v1,posttraining_frozen_behavior_profile_old64_primary,LAT.LANE_KEEPING,车道保持,N/A,N/A,fixed taxonomy row,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,现有冻结库存没有精确lane-keeping BDD和语义增量。,INSUFFICIENT_FOR_DIMENSION_CLAIM,EVIDENCE_GAP_BDD_NOT_COMPUTED,EVIDENCE_GAP_BDD_NOT_COMPUTED,N/A,schema gap audit,docs/unified_bdd_reporting_schema_freeze_v1.json,recorded in output manifest,True
unified_bdd_reporting_schema_v1,posttraining_frozen_behavior_profile_old64_primary,LAT.LANE_CHANGE,变道行为,pdm_closed_conservative_v1,pdm_closed_assertive_v1,Stage7 lane_change,paired,60,N/A (legacy field not archived),old64,0.0287843089135262,N/A,N/A,8.99991000089999e-05,0.0003599964000359,Legacy locked Monte-Carlo paired null; q95/Z not archived,N/A,N/A,N/A,变道场景slice BDD显著，但无冻结task级方向。,TASK_SLICE_PROXY,AVAILABLE,EVIDENCE_GAP_SEMANTIC_DELTA_NOT_COMPUTED,stage7_old64_lane_change,Stage7 locked confirmation,/Users/liuqing/Projects/01_E2E_QA_Code/E2E-Evaluation/outputs/stage7_m6_6_confirmation_evidence_v1/table_m6_6_task_bdd.csv,f191f0ea277c3e41bb8ca636180ea534329a2609f5e97f2606e1a31996625db6,True
unified_bdd_reporting_schema_v1,posttraining_frozen_behavior_profile_old64_primary,LAT.DYNAMICS,横向动态,pdm_closed_conservative_v1,pdm_closed_assertive_v1,Stage7 high_motion_dynamics,paired,60,N/A (legacy field not archived),old64,0.0144533234107295,N/A,N/A,0.0001399986000139,0.0004199958000419,Legacy locked Monte-Carlo paired null; q95/Z not archived,N/A,N/A,N/A,混合高运动slice显著，不能称纯横向BDD。,MIXED_PROXY,PROXY_ONLY_NOT_CONFIRMATORY,EVIDENCE_GAP_SEMANTIC_DELTA_NOT_COMPUTED,stage7_old64_high_motion_dynamics,Stage7 locked confirmation,/Users/liuqing/Projects/01_E2E_QA_Code/E2E-Evaluation/outputs/stage7_m6_6_confirmation_evidence_v1/table_m6_6_task_bdd.csv,f191f0ea277c3e41bb8ca636180ea534329a2609f5e97f2606e1a31996625db6,True
