parameter_id,module,parameter,proposal,rationale_category,basis,status,data_tier,future_outcome_used
P001,Global,alpha,0.05,PHYSICAL_RATIONALE,Conventional two-sided error rate; family definitions and Holm correction prevent implicit pooling,READY_FOR_FREEZE,R0_DEVELOPMENT_ONLY,false
P002,Global,confidence_level,0.95,PHYSICAL_RATIONALE,Matches alpha=0.05 two-sided inference,READY_FOR_FREEZE,R0_DEVELOPMENT_ONLY,false
P003,Global,multiplicity,Holm within each predeclared module/family; intersection-union for multi-feature equivalence,COMPUTATIONAL_PRECISION,Strong FWER control without assuming independence,READY_FOR_FREEZE,R0_DEVELOPMENT_ONLY,false
P004,Global,bootstrap_repetitions,5000,COMPUTATIONAL_PRECISION,Stable percentile/BCa endpoints with cluster resampling; increase only by predeclared precision rule,READY_FOR_FREEZE,R0_DEVELOPMENT_ONLY,false
P005,Global,permutation_repetitions,49999,COMPUTATIONAL_PRECISION,Minimum attainable plus-one p=0.00002 and MC SE near 0.001 at p=0.05,READY_FOR_FREEZE,R0_DEVELOPMENT_ONLY,false
P006,D0,event_position_bins,early=0:49; middle=50:99; late=100:149 (frame indices),PHYSICAL_RATIONALE,Three equal 5 s supports at dt=0.1 s; boundaries fixed without outcome access,READY_FOR_FREEZE,R0_DEVELOPMENT_ONLY,false
P007,D0,minimum_temporal_effect,absolute paired standardized retention difference >=0.10 plus 95% CI excluding 0 and >=2/3 seed direction,DEVELOPMENT_ESTIMATION,Small-effect proposal; scientific materiality still requires owner approval,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,R0_DEVELOPMENT_ONLY,false
P008,D0/D1,linear_probe_grid,"ridge alpha={1e-4,1e-3,1e-2,1e-1,1,10,100,1000,10000}; fixed linear/logistic family",COMPUTATIONAL_PRECISION,Bounded log grid and fixed-capacity refit contract,READY_FOR_FREEZE,R0_DEVELOPMENT_ONLY,false
P009,D3,projection_rank_candidates,"{1,2,4,8,16}; max_rank=16",COMPUTATIONAL_PRECISION,Bounded powers-of-two set prevents 64D dimension fishing,READY_FOR_FREEZE,R0_DEVELOPMENT_ONLY,false
P010,D3,projection_rank_selection,development semantic-retention score subject to null-calibration gate; smallest rank wins ties within 1 SE,PHYSICAL_RATIONALE,Favors parsimonious stable readout and isolates audit holdout,READY_FOR_FREEZE,R0_DEVELOPMENT_ONLY,false
P011,D3,primary_kernel,single RBF,HISTORICAL_VARIABILITY,Matches verified Stage7L/Stage6P primary family,READY_FOR_FREEZE,R0_DEVELOPMENT_ONLY,false
P012,D3,bandwidth_rule,per representation/readout fixed positive off-diagonal median distance on treatment-label-blind R0_DEVELOPMENT reference bank,DEVELOPMENT_ESTIMATION,Avoids treatment-cell adaptive bandwidth and is frozen before audit,READY_FOR_FREEZE,R0_DEVELOPMENT_ONLY,false
P013,D2,context_shuffle_matching_strata,scenario_family x lane_change_direction x initial_speed_tertile x traffic_density_tertile x neighbor_availability_pattern x event_phase_bin,PHYSICAL_RATIONALE,All are pre-treatment/context variables; sparse cells follow fixed coarsening order,READY_FOR_FREEZE,R0_DEVELOPMENT_ONLY,false
P014,D2,sparse_strata_rule,minimum 4 independent units; coarsen event_phase then density then speed; never cross scenario_family,COMPUTATIONAL_PRECISION,Prevents singleton shuffle and preserves task family,READY_FOR_FREEZE,R0_DEVELOPMENT_ONLY,false
P015,D2,ood_boundary,reference 99th percentile per metric; OOD_DOMINATED if >=2 of 4 metrics exceed their boundary,DEVELOPMENT_ESTIMATION,Bounded multimetric diagnostic estimated without candidate outcomes,READY_FOR_FREEZE,R0_DEVELOPMENT_ONLY,false
P016,D1,continuous_target_reporting,"held-out R2 primary; MAE/NRMSE, Spearman, calibration slope secondary; log-cluster 95% CI",PHYSICAL_RATIONALE,Target-level effects retain units and uncertainty,READY_FOR_FREEZE,R0_DEVELOPMENT_ONLY,false
P017,D1,categorical_target_reporting,balanced_accuracy primary; AUROC and macro-F1 secondary; log-cluster 95% CI,PHYSICAL_RATIONALE,Avoids prevalence-driven accuracy,READY_FOR_FREEZE,R0_DEVELOPMENT_ONLY,false
P018,D3,calibration_fpr_gate,upper 95% CI <=0.075 at nominal 0.05,MEASUREMENT_PRECISION,Proposal allows finite-sample uncertainty while limiting material calibration inflation,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,R0_DEVELOPMENT_ONLY,false
