representation,candidate,seed,semantic_family,target_id,target_kind,primary_metric,point_estimate,ci95_lower,ci95_upper,gate,target_result,n_rows,n_scenario_groups,split_contract,evidence_level
old64,old64,NOT_APPLICABLE,longitudinal,ego13.mean_speed,continuous,R2,0.8648257412742769,0.8582851751264644,0.8708814029416478,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
old64,old64,NOT_APPLICABLE,longitudinal,ego13.end_minus_start_speed,continuous,R2,0.6627768973344081,0.6452712652387235,0.6780419205712865,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
old64,old64,NOT_APPLICABLE,longitudinal,ego13.rms_accel,continuous,R2,0.7704677315598866,0.6847118426638857,0.8566779017746421,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
old64,old64,NOT_APPLICABLE,lateral,ego13.rms_yaw_rate,continuous,R2,0.9251043994848664,0.9044108689590947,0.9427226367907503,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
old64,old64,NOT_APPLICABLE,lateral,ego13.heading_change_abs_total,continuous,R2,0.8659183333811538,0.8274918601861226,0.899300560441411,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
old64,old64,NOT_APPLICABLE,lateral,raw33.lane_change_count_proxy,categorical,balanced_accuracy,0.9896798604076514,0.9879294372830308,0.9913532016708705,BA>=0.60 AND log-cluster CI lower>0.50,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
old64,old64,NOT_APPLICABLE,interaction,raw33.mean_front_distance,continuous,R2,0.5599802102191224,0.5439398095306485,0.5750173051338441,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
old64,old64,NOT_APPLICABLE,interaction,raw33.mean_rel_speed,continuous,R2,0.6867622563554483,0.671695796111357,0.7014614786624397,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
old64,old64,NOT_APPLICABLE,interaction,raw33.front_pressure_score,continuous,R2,0.5653747980946089,0.5516478718899854,0.5788173761933137,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,A,3407,longitudinal,ego13.mean_speed,continuous,R2,0.9088109253928247,0.9042803587576459,0.9131293347663625,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,A,3407,longitudinal,ego13.end_minus_start_speed,continuous,R2,0.8771760367899443,0.8592767777890447,0.8903678205136636,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,A,3407,longitudinal,ego13.rms_accel,continuous,R2,0.8160173319616622,0.7388213925652798,0.8847133526506535,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,A,3407,lateral,ego13.rms_yaw_rate,continuous,R2,0.9045391831340385,0.8792814000962912,0.9257706103427745,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,A,3407,lateral,ego13.heading_change_abs_total,continuous,R2,0.8757503837050287,0.8480965820669363,0.8996513562580033,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,A,3407,lateral,raw33.lane_change_count_proxy,categorical,balanced_accuracy,0.9920400067731322,0.9904346941373083,0.9935546714781793,BA>=0.60 AND log-cluster CI lower>0.50,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,A,3407,interaction,raw33.mean_front_distance,continuous,R2,0.9305133268927751,0.9235645373904176,0.9371462634569483,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,A,3407,interaction,raw33.mean_rel_speed,continuous,R2,0.9599561583372879,0.9562168469291558,0.9632837505015489,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,A,3407,interaction,raw33.front_pressure_score,continuous,R2,0.9340169640917381,0.9296709265403316,0.9380726340356892,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,A,3408,longitudinal,ego13.mean_speed,continuous,R2,0.9347647907517386,0.9314676331075323,0.9377062669431202,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,A,3408,longitudinal,ego13.end_minus_start_speed,continuous,R2,0.8581894307552587,0.8332763057591684,0.875238369281798,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,A,3408,longitudinal,ego13.rms_accel,continuous,R2,0.8049638969976307,0.7251438267097454,0.8804716491051047,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,A,3408,lateral,ego13.rms_yaw_rate,continuous,R2,0.9287635835432378,0.9063472753738032,0.9473062004143078,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,A,3408,lateral,ego13.heading_change_abs_total,continuous,R2,0.8986717223865989,0.8705205384116409,0.9223895992442572,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,A,3408,lateral,raw33.lane_change_count_proxy,categorical,balanced_accuracy,0.9910872573379136,0.9894061021809656,0.9927057055218081,BA>=0.60 AND log-cluster CI lower>0.50,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,A,3408,interaction,raw33.mean_front_distance,continuous,R2,0.9294576575475852,0.9232133146196977,0.9353579804422285,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,A,3408,interaction,raw33.mean_rel_speed,continuous,R2,0.95991946293615,0.9565449451032096,0.9631304295982394,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,A,3408,interaction,raw33.front_pressure_score,continuous,R2,0.93104928616859,0.9267573267865655,0.9351705848195985,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3409,A,3409,longitudinal,ego13.mean_speed,continuous,R2,0.9330512119600323,0.929219656231138,0.9366312468613344,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3409,A,3409,longitudinal,ego13.end_minus_start_speed,continuous,R2,0.8831926489805876,0.8647869453829962,0.8960864620199536,R2>=0.10 AND log-cluster CI lower>0,SUPPORTED,16870,2486,five-fold grouped held-out by scenario_id; cluster bootstrap= scenario because log identity is unavailable,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
