residual_family,context_variable,proposal_status,exact_source,unit,coordinate_frame,time_window,aggregation,missingness_rule,slot_validity_rule,map_query_rule,numerical_precision,eligibility_use,prospective_exact_parity,historical_r0_parity,owner_decision
R-HLC,context.map_location,DRAFT_PROPOSAL,official scenario log map_name resolved from DB log.map_version or cached log map string,canonical category,not applicable,t_anchor,exact canonical string,missing map name is pre-rollout exclusion,not applicable,no geometry query required,exact string,block and exact category match,YES_IF_SOURCE_LOG_BOUND_BEFORE_ROSTER_FREEZE,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
R-HLC,context.road_class,DRAFT_PROPOSAL,map API source and target lane objects bound in maneuver manifest,enumerated category,map lane topology at ego rear axle,t_anchor,source_layer__target_layer__same_roadblock__adjacent_edge,missing source or target lane or nonadjacency is pre-rollout exclusion,not applicable,query SemanticMapLayer.LANE then LANE_CONNECTOR only when lane query is null; require source target shared roadblock and native adjacency,exact enum,exact category match,YES_IF_MAP_OBJECT_IDS_AND_QUERY_VERSION_FROZEN,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
R-HLC,context.log_id,DRAFT_PROPOSAL,official scenario DB log_name or immutable log token,identifier,not applicable,t_anchor,exact immutable identifier,missing log identifier is pre-rollout exclusion,not applicable,no geometry query required,exact string,cluster block only; no cross-log substitution,YES_IF_LOG_ID_IN_ROSTER_MANIFEST,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
R-HLC,context.intended_lane_change_direction,DRAFT_PROPOSAL,frozen source and target centerlines from maneuver manifest,LEFT or RIGHT,source-lane Frenet at t_anchor,t_anchor,sign of cross product between source tangent and source-to-target center displacement,zero or ambiguous sign is pre-rollout exclusion,not applicable,require unique source and target centerline projections at common route progress; reject if lateral separation is not positive,exact enum,exact category match,YES_IF_MANEUVER_MANIFEST_FROZEN_BEFORE_ROSTER,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
R-HLC,context.initial_speed_mps,DRAFT_PROPOSAL,official original replay ego speed from history buffer,m/s,ego longitudinal speed in source-lane Frenet frame,T_PRE_CONTEXT,median of 10 valid frames,any missing or nonfinite required frame is pre-rollout exclusion,not applicable,no geometry query beyond ego source-lane projection,0.001 m/s,numeric Context_match value,YES_IF_OFFICIAL_HISTORY_AVAILABLE,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
R-HLC,context.initial_lane_offset_m,DRAFT_PROPOSAL,official original replay ego rear axle plus source centerline,m,signed source-lane normal,T_PRE_CONTEXT,median signed perpendicular source-lane offset across 10 valid frames,any nonunique projection or residual above 1.0 m is pre-rollout exclusion,not applicable,project ego rear axle to frozen source lane centerline at each frame; require same source lane ID for all frames,0.01 m,numeric Context_match value,YES_IF_MAP_AND_HISTORY_BOUND,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
R-HLC,context.traffic_density,DRAFT_PROPOSAL,official original replay tracked dynamic vehicles and map lane objects,count,union of source target and immediate adjacent lane corridors,T_PRE_CONTEXT,median per-frame count of unique valid vehicle track tokens within 50 m projected route distance,missing track token or failed required lane projection is pre-rollout exclusion,vehicle must be valid and have unique lane projection in every counted frame,query source target and their native adjacent lane IDs from frozen map version; include only those lanes,integer,numeric Context_match value,YES_IF_TRACK_HISTORY_AND_MAP_QUERY_FROZEN,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
R-HLC,context.neighbor_availability_pattern,DRAFT_PROPOSAL,official original replay tracks passed through tools.stage5d_context_core.assign_stage5d_slots,5-bit pattern,ego-centric semantic slots,T_PRE_CONTEXT,slot bit is one only if valid in at least 8 of 10 frames; bits ordered front__left_front__left_rear__right_front__right_rear,any frame requiring geometric fallback or an unresolved lane relation is pre-rollout exclusion,slot requires valid tracked object and lane-aware semantic assignment; no slot-ID interpolation,require map lane query success for all 10 frames; geometric fallback prohibited for exact R1 parity,exact bit pattern,exact category match and audit covariate,YES_IF_STAGE5D_LANE_AWARE_ASSIGNMENT_SUCCEEDS,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
R-HLC,context.target_lane_initial_front_gap_m,DRAFT_PROPOSAL,official original replay target-side semantic front track,m,target-lane route arc relative to ego projection,T_PRE_CONTEXT,median positive target-lane arc separation across valid frames,front object absent in more than 2 frames or nonpositive separation is pre-rollout exclusion,target-side slot is left_front for LEFT and right_front for RIGHT; require same track ID where slot is present,query frozen target lane centerline and project ego plus target-side front object uniquely,0.01 m,numeric Context_match value,YES_IF_TARGET_LANE_TRACK_AND_MAP_PROJECTION_AVAILABLE,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
R-HLC,context.target_lane_initial_rear_gap_m,DRAFT_PROPOSAL,official original replay target-side semantic rear track,m,target-lane route arc relative to ego projection,T_PRE_CONTEXT,median positive ego-minus-rear target-lane arc separation across valid frames,rear object absent in more than 2 frames or nonpositive separation is pre-rollout exclusion,target-side slot is left_rear for LEFT and right_rear for RIGHT; require same track ID where slot is present,query frozen target lane centerline and project ego plus target-side rear object uniquely,0.01 m,numeric Context_match value,YES_IF_TARGET_LANE_TRACK_AND_MAP_PROJECTION_AVAILABLE,NO_NOT_RETROACTIVELY_BOUND,REQUIRES_SCIENTIFIC_OWNER_APPROVAL
