contract_id,module,contract_question,result_status,verified_value,evidence_path,evidence_sha,blocking_for_v1,candidate_impact,remaining_action,notes
C000,Global,Repository branch/commit/status contract,LOCAL_VERIFIED,"branch=20260825_stageR_new; stageR_base=460832b...; governance_initial=0240032...; current HEAD must be dynamic; dirty worktree preserved",git metadata,,YES,A/B/C,Bind final git rev-parse HEAD at v1 freeze,Local audit ran on base before governance-only commits
C001,D0,Actual A/B/C training temporal input,LOCAL_VERIFIED,"[B,80,83] float32 for all candidates/seeds",tools/stage6u_unified_abc_trainer.py,b6b08f1bb56b3818af635468657066dfd6879c016203140597f2fd3c0bdeccd1,YES,A/B/C,Freeze R0 handling policy,T=80 fact is resolved; policy is not
C002,D0,Actual Stage7L learned inference input,LOCAL_VERIFIED,"full [B,150,83] without crop/slice",tools/stage7l_e_run_prospective_bdd.py,9eb9afeacf99fac209a2e380004e3d129c9e0d64a5fc474a879952ff05c10475,YES,A/B/C,Freeze 80/150 audit views and policy,Historical contexts are development only
C003,D0,Encoder pooling contract,LOCAL_VERIFIED,"A/B single-GRU hidden[-1]; C ego/context branch hidden[-1] then concat",tools/stage6u_unified_abc_trainer.py,b6b08f1bb56b3818af635468657066dfd6879c016203140597f2fd3c0bdeccd1,NO,A/B/C,Use fact in D0 design,
C004,D0,Mask/padding/variable-length consumption,LOCAL_VERIFIED,"learned A/B/C consume neither mask nor lengths; 149-frame rows right-pad zero to 150 and final zero step participates",tools/stage7l_e_run_prospective_bdd.py,9eb9afeacf99fac209a2e380004e3d129c9e0d64a5fc474a879952ff05c10475,YES,A/B/C,Freeze audit mask/padding policy,ego_seq_mask is used only by ego13
C005,D0/D2,Slot identity-switch derivative validity in actual Stage7L chain,AMBIGUOUS,"83D schema and Stage7L source verified; local result did not independently state the exact slot-switch reset trace",tools/stage7l_e_prepare_input_contract.py,79ae1860e26698ff5211278ab6965d9143428dd10a6d0874b82aed2a02d8acbb,NO,B/C,Trace exact local adapter call if needed for D2,Do not promote protocol prose to local verified fact
C006,D1,Exact ego13 ordered schema and formulas,LOCAL_VERIFIED,"13 ordered episode summaries; dt=0.1; valid frames from ego_seq_mask",tools/stage6l_prepare_context_representation_ablation.py,293e420b82b8c983d91d35d5f10ba4e57b7b745ad71308ebb9ef5e8170ee319d,NO,All,Freeze target-definition file,Full list in integration report
C007,D1,Input and target normalization contract,LOCAL_VERIFIED,"learned input NONE; raw33 train mean/std; longitudinal v2 train winsorize+median/IQR; ego13 historical dose100 median/IQR",outputs/stageR/r0_local_audit/r0_local_contract_verification.json,3f699215505a467f75781dcf32a29da741b2114e9a2f3c41eefa61b1281dfb7b,YES,A/B/C,Separate input/target/ego13 scalers in SAP,Input includes 999 sentinel
C008,D1,A/B/C seed availability and locked SHA,LOCAL_VERIFIED,"9/9 best checkpoints for 3407/3408/3409; all locked SHA match",outputs/stage6u_abc_formal_training_v1/checkpoint_lock/stage6u_formal_checkpoint_ledger.json,e87c74527d3702de49bc68bebd47ebb485f3ced2a143cd5724cc3c12d59e7ab5,NO,A/B/C,Bind inventory v0.3 SHA at freeze,
C009,D1,Latent architecture and dimensionality,LOCAL_VERIFIED,"A=single64; B=single16+48; C=dual ego16+context48; all output64",tools/stage6u_unified_abc_trainer.py,b6b08f1bb56b3818af635468657066dfd6879c016203140597f2fd3c0bdeccd1,NO,A/B/C,None,
C010,D2,Physical/normalized ablation zero contract,BLOCKED,"input is unnormalized but sentinel/mask semantics make synchronized ablation undefined",outputs/stageR/r0_local_audit/r0_local_contract_verification.json,3f699215505a467f75781dcf32a29da741b2114e9a2f3c41eefa61b1281dfb7b,YES,C formal; A/B diagnostic,Develop and freeze D2 ablation values,Zero cannot be inferred from absence of scaler alone
C011,D2,Mask/missingness synchronization for ablations,BLOCKED,"no frozen synchronized ablation rule found",outputs/stageR/r0_local_audit/r0_local_contract_verification.json,3f699215505a467f75781dcf32a29da741b2114e9a2f3c41eefa61b1281dfb7b,YES,C formal,Develop and freeze D2 contract,Gen-1 ablations remain sensitivity only
C012,D3,Historical MMD estimator,LOCAL_VERIFIED,"biased MMD2 including diagonal terms for Stage7L and Stage6P",tools/stage7l_e_run_prospective_bdd.py,9eb9afeacf99fac209a2e380004e3d129c9e0d64a5fc474a879952ff05c10475,NO,All measurement,Choose R0 primary contract in SAP,Historical fact does not force R0 choice
C013,D3,Historical kernel and bandwidth,LOCAL_VERIFIED,"RBF; Stage7L cell-specific exact positive off-diagonal median; Stage6P representation-specific fixed 20000-draw median",outputs/stageR/r0_local_audit/r0_local_contract_verification.json,3f699215505a467f75781dcf32a29da741b2114e9a2f3c41eefa61b1281dfb7b,YES,All measurement,Freeze R0 kernel/bandwidth rule,Two historical modes are distinct
C014,D3,Historical paired/unpaired null contract,LOCAL_VERIFIED,"Stage7L pair-label swap 100000; Stage6P independent AA calibration/AA FPR with no permutation",outputs/stageR/r0_local_audit/r0_local_contract_verification.json,3f699215505a467f75781dcf32a29da741b2114e9a2f3c41eefa61b1281dfb7b,NO,All measurement,Preserve estimand-specific null,
C015,D3,Stage6P independence unit and split constraints,LOCAL_VERIFIED,"800 pairs; 489 logs; 2400 log-disjoint release trials; scenario-token overlap forbidden",configs/stage6p_representation_unpaired_release.json,6febfe1608e4b312b8ea4107d939e1571ac9548f16cd670befa17a28b58eb33f,NO,Release monitoring,Freeze R0 bootstrap unit separately,
C016,D4,R0_AUDIT_HOLDOUT feasibility,NOT_FOUND,"no verified outcome-blind scenario/log-disjoint candidate",outputs/stageR/r0_local_audit/r0_local_contract_verification.json,3f699215505a467f75781dcf32a29da741b2114e9a2f3c41eefa61b1281dfb7b,YES,All,Build candidate inventory and power/independence assessment,Do not relabel historical test/Stage6/Stage7L
C017,D4,FUTURE_R4_RESERVED_POOL feasibility,NOT_FOUND,"no frozen source/token pool/generator rule verified",outputs/stageR/r0_local_audit/r0_local_contract_verification.json,3f699215505a467f75781dcf32a29da741b2114e9a2f3c41eefa61b1281dfb7b,YES,All formal training,Identify and lock outcome-blind pool before training,
C018,D4,Controlled confirmation roster timing,LOCAL_VERIFIED,"protocol requires pre-treatment whole-roster primary; no mechanism-success survivor filtering",docs/stageR/r0/protocol/R0_Representation_Measurement_Audit_Protocol_v0.5_zh.md,,YES,R4,Implement in future manifests,Protocol rule not an empirical local fact
C019,Global,Protected modified output preservation,LOCAL_VERIFIED,"SHA e8deb933... preserved; no reset/clean/overwrite",outputs/waymo_5neighbor_context_laneaware_clean_v1_full51_merged/behavior_events_v2/behavior_event_metrics_v2.csv,e8deb93312e82183b6c2c0db30fd18cbf9c32d32d566038419a5be65b389d9d8,NO,Safety,Continue read-only handling,
C020,Global,Actual raw33 target SHA provenance,AMBIGUOUS,"36 current files verified but absent from historical shard SHA ledger",36 local interaction_feat_style_raw.npy files,,YES,A/B/C,Create authoritative non-destructive provenance addendum,Do not rewrite historical ledger
C021,D3,Stage7L independence/permutation unit,LOCAL_VERIFIED,"same-scenario pair; independent sign swap per pair; 80 pairs for LAT.LANE_CHANGE and 38 for LAT.DYNAMICS",docs/stage7l_e_prospective_bdd_manifest_v1.json,4fae0ede5bb77e86eec7f9aa1222b6605248b746dec8767ba3bd75fed6947a8b,NO,Paired measurement,Freeze log-cluster CI separately for R0,
