schema_version,dimension_id,dimension_name_zh,behavior_profile_status,bdd_status,semantic_status,representation_status,reason_code,available_frozen_source,fixed_boundary
unified_bdd_reporting_schema_v1,OVR.ALL,总体行为漂移,AVAILABLE,AVAILABLE,AVAILABLE,EVIDENCE_GAP_REPRESENTATION_NOT_EVALUATED,,Stage7 locked confirmation,总体行为分布显著漂移；不表示安全性、优劣或单一风格标签。
unified_bdd_reporting_schema_v1,LON.FREE_FLOW_SPEED,自由流速度,EVIDENCE_GAP_BDD_NOT_COMPUTED,EVIDENCE_GAP_BDD_NOT_COMPUTED,EVIDENCE_GAP_SEMANTIC_DELTA_NOT_COMPUTED,EVIDENCE_GAP_REPRESENTATION_NOT_EVALUATED,EVIDENCE_GAP_BDD_NOT_COMPUTED,schema gap audit,没有冻结的纯自由流BDD及绑定的自由流semantic delta。
unified_bdd_reporting_schema_v1,LON.ACCEL_DECEL,纵向加速/减速,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE_PRIMARY_ONLY,,Stage6J/K blind,纯纵向处置产生显著总体纵向行为漂移。
unified_bdd_reporting_schema_v1,LON.CAR_FOLLOWING,跟车行为,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE_PRIMARY_ONLY,,Stage6J/K blind,跟车slice BDD显著；前车间距/THW方向不稳定，不能把本行解释为稳定更近。
unified_bdd_reporting_schema_v1,LON.CLOSING_RESPONSE,逼近前车响应,AVAILABLE,AVAILABLE,AVAILABLE,EVIDENCE_GAP_REPRESENTATION_NOT_EVALUATED,,Stage6S-v3 confirmation,逼近阶段维持更多加速度。
unified_bdd_reporting_schema_v1,LON.COMFORT,纵向平顺性,PROXY_ONLY_NOT_CONFIRMATORY,AVAILABLE,AVAILABLE,EVIDENCE_GAP_REPRESENTATION_NOT_EVALUATED,PROXY_ONLY_NOT_CONFIRMATORY,Stage6J/K blind,与LON.ACCEL_DECEL共享parent BDD；不是独立平顺性BDD检验。
unified_bdd_reporting_schema_v1,LAT.LANE_KEEPING,车道保持,EVIDENCE_GAP_BDD_NOT_COMPUTED,EVIDENCE_GAP_BDD_NOT_COMPUTED,EVIDENCE_GAP_SEMANTIC_DELTA_NOT_COMPUTED,EVIDENCE_GAP_REPRESENTATION_NOT_EVALUATED,EVIDENCE_GAP_BDD_NOT_COMPUTED,schema gap audit,现有冻结库存没有精确lane-keeping BDD和语义增量。
unified_bdd_reporting_schema_v1,LAT.LANE_CHANGE,变道行为,AVAILABLE,AVAILABLE,EVIDENCE_GAP_SEMANTIC_DELTA_NOT_COMPUTED,EVIDENCE_GAP_REPRESENTATION_NOT_EVALUATED,EVIDENCE_GAP_SEMANTIC_DELTA_NOT_COMPUTED,Stage7 locked confirmation,变道场景slice BDD显著，但无冻结task级方向。
unified_bdd_reporting_schema_v1,LAT.DYNAMICS,横向动态,PROXY_ONLY_NOT_CONFIRMATORY,AVAILABLE,EVIDENCE_GAP_SEMANTIC_DELTA_NOT_COMPUTED,EVIDENCE_GAP_REPRESENTATION_NOT_EVALUATED,EVIDENCE_GAP_SEMANTIC_DELTA_NOT_COMPUTED,Stage7 locked confirmation,混合高运动slice显著，不能称纯横向BDD。
unified_bdd_reporting_schema_v1,INT.FRONT_GAP_THW,前车间距/车头时距交互,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE_PRIMARY_ONLY,,Stage6S-v3 confirmation,interaction mechanism与BDD均有冻结证据；THW排除sentinel/cap。
unified_bdd_reporting_schema_v1,INT.LONG_FOLLOWING,纵向跟车交互响应,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE_PRIMARY_ONLY,,Stage6S-v3 confirmation,跟车压力阶段维持更多加速度。
unified_bdd_reporting_schema_v1,INT.LATERAL_GAP,横向间隙接受/横向交互,EVIDENCE_GAP_SEMANTIC_DELTA_NOT_COMPUTED,EVIDENCE_GAP_BDD_NOT_COMPUTED,EVIDENCE_GAP_SEMANTIC_DELTA_NOT_COMPUTED,EVIDENCE_GAP_REPRESENTATION_NOT_EVALUATED,EVIDENCE_GAP_SEMANTIC_DELTA_NOT_COMPUTED,schema gap audit,没有冻结的横向gap acceptance BDD及同slice semantic delta。
unified_bdd_reporting_schema_v1,INT.MERGE_YIELD_CUTIN,汇入/让行/切入响应,PROXY_ONLY_NOT_CONFIRMATORY,AVAILABLE,EVIDENCE_GAP_SEMANTIC_DELTA_NOT_COMPUTED,EVIDENCE_GAP_REPRESENTATION_NOT_EVALUATED,PROXY_ONLY_NOT_CONFIRMATORY,Stage7 locked confirmation,仅broad dense/vulnerable interaction proxy，不能确认具体汇入/让行/切入。
