session_id,prior_primary_class,reaudited_primary_class,affected_component,decision_influence_evidence,future_role_effect,source_metadata
2021.05.12.22.28.35_veh-35,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.05.12.23.36.44_veh-35,E2_BENCHMARK_ENGINEERING,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.05.25.14.16.10_veh-35,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.06.03.12.02.06_veh-35,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.06.07.12.54.00_veh-35,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.06.07.18.53.26_veh-26,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.06.08.12.54.54_veh-26,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.06.08.14.35.24_veh-26,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.06.09.14.03.17_veh-12,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.06.09.17.23.18_veh-38,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.06.09.17.37.09_veh-12,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.06.14.16.32.09_veh-35,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.06.14.16.48.02_veh-12,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.06.14.19.22.11_veh-38,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.06.23.15.56.12_veh-16,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.06.23.16.54.19_veh-35,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.06.28.15.02.02_veh-38,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.06.28.16.29.11_veh-38,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.06.28.16.57.59_veh-26,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.07.09.20.59.12_veh-38,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.07.16.18.06.21_veh-38,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.07.16.20.45.29_veh-35,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.07.24.23.50.16_veh-17,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.08.17.16.57.11_veh-08,E2_BENCHMARK_ENGINEERING,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.08.17.17.17.01_veh-45,E2_BENCHMARK_ENGINEERING,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.08.30.14.54.34_veh-40,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.09.16.15.12.03_veh-42,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
2021.10.01.19.16.42_veh-28,E1_UNRELATED_HISTORICAL_USE,E3_PRIMARY_METHOD_DEVELOPMENT,PAIRED_BDD_ESTIMAND_AND_FIXED_MEDIAN_KERNEL_METHOD_BOUNDARY,M6.1 designed after inspecting M3-M5; current 45-pair dataset explicitly method-development-only,DEVELOPMENT_ONLY_FOR_AFFECTED_COMPONENT; EXCLUDE_FROM_CORRESPONDING_CONFIRMATORY_CLAIM,outputs/stage7e_pdm_v1_balanced50_paired45_context_v1_m3/metadata.csv
