freeze_id,module,parameter_or_contract,value_or_candidate_set,how_value_may_be_chosen,data_allowed_for_choice,must_be_frozen_before,status,blocking,notes
NBR000,Global,active_development_branch,20260825_stageR_new,Fixed by StageR governance decision,Protocol,R0 v1.0 freeze,PRE_FROZEN_METHOD,YES,Any branch change requires explicit protocol deviation.
NBR001,Global,active_branch_exact_local_head_sha,TBD_LOCAL_AT_FREEZE,Read-only git rev-parse HEAD after approved pre-freeze edits,Local repo metadata,R0 v1.0 freeze,TO_BE_PARAMETERIZED,YES,Bind exact code state used for R0 execution.
NBR002,Global,historical_gen1_source_branch,20260611_stage7_conclusion,Historical provenance reference,GitHub/history,R0 v1.0 freeze,PRE_FROZEN_METHOD,NO,Does not prove checkpoint provenance by itself.
N000,Global,alpha_family,TBD,Predefine inferential alpha and multiplicity family in SAP,R0_DEVELOPMENT / literature rationale,R0_AUDIT_HOLDOUT,TO_BE_PARAMETERIZED,YES,Do not choose from audit outcome.
N001,Global,bootstrap_repetitions,TBD,Set for CI precision/computation before audit,R0_DEVELOPMENT timing benchmark only,R0_AUDIT_HOLDOUT,TO_BE_PARAMETERIZED,YES,Cluster bootstrap unit separately frozen.
N002,Global,permutation_repetitions,TBD,Set Monte Carlo p-value resolution before audit,R0_DEVELOPMENT timing benchmark only,R0_AUDIT_HOLDOUT,TO_BE_PARAMETERIZED,YES,Paired/unpaired units differ.
N003,Global,minimum_seed_consistency,>=2/3 direction (already methodological rule),Protocol rule; no audit outcome choice,Protocol,R0 audit execution,PRE_FROZEN_METHOD,NO,3408/3409 asset existence still verify.
N010,D0,minimum_temporal_effect,TBD,Effect-size threshold from measurement resolution + historical dev variability,R0_DEVELOPMENT,R0_AUDIT_HOLDOUT,TO_BE_PARAMETERIZED,YES,Separate D0-A/B/C hypotheses.
N011,D0,event_position_bins,TBD early/middle/late definitions,"Predefine from sequence time coordinates, not outcome",R0_DEVELOPMENT metadata,R0_AUDIT_HOLDOUT,TO_BE_PARAMETERIZED,YES,D0-B quasi-experimental.
N012,D0,probe_capacity_contract,linear / fixed low capacity; exact regularization TBD,Choose only on Waymo/R0 development,R0_DEVELOPMENT,R0_AUDIT_HOLDOUT,TO_BE_PARAMETERIZED,YES,Same capacity across views.
