dose,dose_role,semantic_family,target_id,target_kind,parity_result,definition_check,unit,unit_check,valid_mask_check,finite_valid_support,classification_support,context_slot_check,grouping_contract,source_column_or_index,max_abs_recompute_difference,nonmatching_rows_tolerance_1e_6,stage7l_static_formula_status,temporal_slot_switch_limitation,n_rows,n_log_clusters,evidence_level
dose0,PRIMARY,longitudinal,ego13.mean_speed,continuous,PARITY_CONFIRMED,冻结 ego_kinematic_features 逐行重算；仅使用 ego_seq_mask 的有效帧,m/s,PASS: Stage5D/target contract uses the same declared unit,PASS: all ego target frames selected by ego_seq_mask; raw33 uses valid slot>0.5 with NaN-safe reductions,finite=80/80,NOT_APPLICABLE,不适用：该 target 只使用 Stage5D ego 8D；8D 通道公式匹配,independence=scenario; uncertainty cluster=log_name,ego13[0],0.0,0,NOT_APPLICABLE,NOT_USED_BY_THIS_TARGET,80,79,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,longitudinal,ego13.end_minus_start_speed,continuous,PARITY_CONFIRMED,冻结 ego_kinematic_features 逐行重算；仅使用 ego_seq_mask 的有效帧,m/s,PASS: Stage5D/target contract uses the same declared unit,PASS: all ego target frames selected by ego_seq_mask; raw33 uses valid slot>0.5 with NaN-safe reductions,finite=80/80,NOT_APPLICABLE,不适用：该 target 只使用 Stage5D ego 8D；8D 通道公式匹配,independence=scenario; uncertainty cluster=log_name,ego13[3],0.0,0,NOT_APPLICABLE,NOT_USED_BY_THIS_TARGET,80,79,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,longitudinal,ego13.rms_accel,continuous,PARITY_CONFIRMED,冻结 ego_kinematic_features 逐行重算；仅使用 ego_seq_mask 的有效帧,m/s^2,PASS: Stage5D/target contract uses the same declared unit,PASS: all ego target frames selected by ego_seq_mask; raw33 uses valid slot>0.5 with NaN-safe reductions,finite=80/80,NOT_APPLICABLE,不适用：该 target 只使用 Stage5D ego 8D；8D 通道公式匹配,independence=scenario; uncertainty cluster=log_name,ego13[4],0.0,0,NOT_APPLICABLE,NOT_USED_BY_THIS_TARGET,80,79,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,lateral,ego13.rms_yaw_rate,continuous,PARITY_CONFIRMED,冻结 ego_kinematic_features 逐行重算；仅使用 ego_seq_mask 的有效帧,rad/s,PASS: Stage5D/target contract uses the same declared unit,PASS: all ego target frames selected by ego_seq_mask; raw33 uses valid slot>0.5 with NaN-safe reductions,finite=80/80,NOT_APPLICABLE,不适用：该 target 只使用 Stage5D ego 8D；8D 通道公式匹配,independence=scenario; uncertainty cluster=log_name,ego13[9],0.0,0,NOT_APPLICABLE,NOT_USED_BY_THIS_TARGET,80,79,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,lateral,ego13.heading_change_abs_total,continuous,PARITY_CONFIRMED,冻结 ego_kinematic_features 逐行重算；仅使用 ego_seq_mask 的有效帧,rad,PASS: Stage5D/target contract uses the same declared unit,PASS: all ego target frames selected by ego_seq_mask; raw33 uses valid slot>0.5 with NaN-safe reductions,finite=80/80,NOT_APPLICABLE,不适用：该 target 只使用 Stage5D ego 8D；8D 通道公式匹配,independence=scenario; uncertainty cluster=log_name,ego13[11],0.0,0,NOT_APPLICABLE,NOT_USED_BY_THIS_TARGET,80,79,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,lateral,raw33.lane_change_count_proxy,categorical,PARITY_CONFIRMED,冻结 aggregate_interaction_features 逐行重算并与持久化 raw33 列逐元素比较,count (binary probe label: count>0),PASS: Stage5D/target contract uses the same declared unit,PASS: all ego target frames selected by ego_seq_mask; raw33 uses valid slot>0.5 with NaN-safe reductions,class_0=4; class_1=76,class_0=4; class_1=76,front 槽位的 valid/distance/closing 静态 Stage5D 公式匹配；不使用换槽近似的 accel/yaw_rate,independence=scenario; uncertainty cluster=log_name,raw33[13],0.0,0,MATCHED,NOT_USED_BY_THIS_TARGET,80,79,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,interaction,raw33.mean_front_distance,continuous,PARITY_CONFIRMED,冻结 aggregate_interaction_features 逐行重算并与持久化 raw33 列逐元素比较,m,PASS: Stage5D/target contract uses the same declared unit,PASS: all ego target frames selected by ego_seq_mask; raw33 uses valid slot>0.5 with NaN-safe reductions,finite=80/80,NOT_APPLICABLE,front 槽位的 valid/distance/closing 静态 Stage5D 公式匹配；不使用换槽近似的 accel/yaw_rate,independence=scenario; uncertainty cluster=log_name,raw33[6],0.0,0,MATCHED,NOT_USED_BY_THIS_TARGET,80,79,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,interaction,raw33.mean_rel_speed,continuous,PARITY_CONFIRMED,冻结 aggregate_interaction_features 逐行重算并与持久化 raw33 列逐元素比较,m/s,PASS: Stage5D/target contract uses the same declared unit,PASS: all ego target frames selected by ego_seq_mask; raw33 uses valid slot>0.5 with NaN-safe reductions,finite=80/80,NOT_APPLICABLE,front 槽位的 valid/distance/closing 静态 Stage5D 公式匹配；不使用换槽近似的 accel/yaw_rate,independence=scenario; uncertainty cluster=log_name,raw33[8],0.0,0,MATCHED,NOT_USED_BY_THIS_TARGET,80,79,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,interaction,raw33.front_pressure_score,continuous,PARITY_CONFIRMED,冻结 aggregate_interaction_features 逐行重算并与持久化 raw33 列逐元素比较,m proxy,PASS: Stage5D/target contract uses the same declared unit,PASS: all ego target frames selected by ego_seq_mask; raw33 uses valid slot>0.5 with NaN-safe reductions,finite=80/80,NOT_APPLICABLE,front 槽位的 valid/distance/closing 静态 Stage5D 公式匹配；不使用换槽近似的 accel/yaw_rate,independence=scenario; uncertainty cluster=log_name,raw33[21],0.0,0,MATCHED,NOT_USED_BY_THIS_TARGET,80,79,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose25,ALL_DOSE_DESCRIPTIVE,longitudinal,ego13.mean_speed,continuous,PARITY_CONFIRMED,冻结 ego_kinematic_features 逐行重算；仅使用 ego_seq_mask 的有效帧,m/s,PASS: Stage5D/target contract uses the same declared unit,PASS: all ego target frames selected by ego_seq_mask; raw33 uses valid slot>0.5 with NaN-safe reductions,finite=80/80,NOT_APPLICABLE,不适用：该 target 只使用 Stage5D ego 8D；8D 通道公式匹配,independence=scenario; uncertainty cluster=log_name,ego13[0],0.0,0,NOT_APPLICABLE,NOT_USED_BY_THIS_TARGET,80,79,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose25,ALL_DOSE_DESCRIPTIVE,longitudinal,ego13.end_minus_start_speed,continuous,PARITY_CONFIRMED,冻结 ego_kinematic_features 逐行重算；仅使用 ego_seq_mask 的有效帧,m/s,PASS: Stage5D/target contract uses the same declared unit,PASS: all ego target frames selected by ego_seq_mask; raw33 uses valid slot>0.5 with NaN-safe reductions,finite=80/80,NOT_APPLICABLE,不适用：该 target 只使用 Stage5D ego 8D；8D 通道公式匹配,independence=scenario; uncertainty cluster=log_name,ego13[3],0.0,0,NOT_APPLICABLE,NOT_USED_BY_THIS_TARGET,80,79,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
