asset_id,asset_class,logical_name,role,data_tier,repo_or_source,branch_or_version,path_or_locator,seed,remote_git_blob_sha,local_sha256,shape_or_contract,source_status,verification_required,blocks_v1_freeze,allowed_use,prohibited_use,notes
A000,repo,active_stageR_remote_branch_baseline,StageR active code baseline,R0_DEVELOPMENT,forwardxp-021/E2E-Evaluation,20260825_stageR_new,branch HEAD,,460832bde6266f1367a10bfe00e9b3bc176740ce,,git commit,REMOTE_VERIFIED,Verify local StageR HEAD/status separately,NO,StageR remote code reference / branch governance,Do not infer local repo state or historical artifact provenance,Remote branch HEAD verified 2026-08-25. Local HEAD may advance.
A000H,repo,historical_gen1_remote_branch_baseline,Generation-1 historical code reference,R0_DEVELOPMENT,forwardxp-021/E2E-Evaluation,20260611_stage7_conclusion,branch HEAD,,0f6fefd4363bdfcdeec37f3f7d38782516ba72dd,,git commit,REMOTE_VERIFIED,Historical artifact-producing local commits still require artifact/config verification,NO,Historical provenance reference,Do not treat as StageR active development branch,Historical branch HEAD verified 2026-08-25.
A001,code,waymo_5neighbor_builder,Waymo canonical context builder,R0_DEVELOPMENT,forwardxp-021/E2E-Evaluation,20260611_stage7_conclusion,tools/build_waymo_5neighbor_context_dataset.py,,cefb105b1fbd812e045a4c75c9774b256ef025ef,,default window_len=80; dt=0.1; 83D context,REMOTE_VERIFIED,Verify exact local file SHA/content if local run used it,YES,Contract audit / reconstruction,Do not assume current local file equals remote,Remote Git blob SHA verified.
A002,code,waymo_dynamic_interaction_builder_v2,Dynamic-v2 dataset builder,R0_DEVELOPMENT,forwardxp-021/E2E-Evaluation,20260611_stage7_conclusion,tools/build_waymo_dynamic_interaction_dataset_v2.py,,fa81ed460927e5ded4c2207bfd8a17b7af75915a,,dynamic semantic neighbor builder,REMOTE_VERIFIED,Verify local file and actual generation command,YES,Contract audit,Do not regenerate historical evidence during inventory,Remote Git blob SHA verified.
A003,code,nuplan_5neighbor_builder,nuPlan 83D adapter,R0_DEVELOPMENT,forwardxp-021/E2E-Evaluation,20260611_stage7_conclusion,tools/build_nuplan_5neighbor_context_dataset.py,,4e0b10f1d3c3044b6999edbabd6bb0963cae3d16,,shared Stage5D ego8 + 5x15 neighbor; slot-switch derivative reset/invalidation,REMOTE_VERIFIED,Verify local file and Stage7L invocation,YES,D0/D2 contract audit,Do not infer Stage7L actual tensor T without local check,Remote Git blob SHA verified.
A004,code,standardized_bdd_matrix,BDD matrix/reporting implementation,R0_DEVELOPMENT,forwardxp-021/E2E-Evaluation,20260611_stage7_conclusion,tools/build_standardized_fixed_dimension_bdd_matrix.py,,538ebfdb1153e51947fc8a351dc94b98491ae80c,,BDD implementation details TBD local/code trace,REMOTE_VERIFIED,Trace kernel/bandwidth/null exact implementation,YES,D3 measurement audit,Do not assume kernel settings from handover alone,Remote Git blob SHA verified.
A005,code,unified_bdd_report,Unified BDD reporting implementation,R0_DEVELOPMENT,forwardxp-021/E2E-Evaluation,20260611_stage7_conclusion,tools/build_unified_bdd_posttraining_report.py,,f45265b38fbd2a2b34187bfe233bceadc4aafc9c,,report generator,REMOTE_VERIFIED,Verify local version if used,NO,Historical audit/reproduction,Do not change frozen historical outputs,Remote Git blob SHA verified.
A010,checkpoint,old64,Generation-1 historical representation baseline,R0_DEVELOPMENT,local experiment asset,,TBD_LOCAL,,,,64D checkpoint; exact config/path TBD,HISTORICAL_HANDOVER_ONLY,Locate checkpoint + SHA256 + config + seed,YES,R0 diagnostic only,Not future R4 confirmation tuning,Historical evidence exists; local artifact not yet verified.
A011,checkpoint,candidate_A_seed3407,Gen-1 A primary checkpoint,R0_DEVELOPMENT,local experiment asset,,TBD_LOCAL,3407,,,64D checkpoint,LOCAL_VERIFICATION_REQUIRED,Locate + SHA256 + state_dict metadata,YES,R0 diagnostics,No retraining or overwrite,Primary seed historical.
A012,checkpoint,candidate_A_seed3408,Gen-1 A replication checkpoint,R0_DEVELOPMENT,local experiment asset,,TBD_LOCAL,3408,,,64D checkpoint,LOCAL_VERIFICATION_REQUIRED,Confirm existence; locate + SHA256,YES,Seed replication if present,Do not silently substitute a newly trained checkpoint,Existence not yet verified.
