global_row,shard_id,local_row,split
6761,1,1759,test
26173,5,1156,test
107406,22,2974,test
58155,12,466,test
148507,31,2237,test
78355,16,634,test
50902,10,3217,test
99283,20,4856,test
136287,29,34,test
103362,21,3931,test
131189,27,4939,test
75617,15,2896,test
104099,21,4668,test
147742,31,1472,test
151954,32,683,test
86584,18,2161,test
64169,13,1467,test
29823,5,4806,test
29069,5,4052,test
76772,15,4051,test
73196,15,475,test
10423,2,417,test
124458,26,5,test
126286,27,36,test
87225,18,2802,test
16418,3,1412,test
32870,6,2852,test
14434,2,4428,test
133281,28,2030,test
37050,7,2031,test
79083,16,1362,test
99690,21,259,test
111955,23,2516,test
32857,6,2839,test
22317,4,2311,test
31845,6,1827,test
79398,16,1677,test
37749,7,2730,test
138328,29,2075,test
67564,13,4862,test
19996,3,4990,test
163399,34,2119,test
51968,10,4283,test
71379,14,3669,test
33105,6,3087,test
3456,0,3456,test
65444,13,2742,test
50151,10,2466,test
56226,11,3539,test
43295,9,623,test
85775,18,1352,test
164411,34,3131,test
148883,31,2613,test
67667,13,4965,test
130671,27,4421,test
58599,12,910,test
119298,24,4850,test
67653,13,4951,test
556,0,556,test
154954,32,3683,test
133211,28,1960,test
60613,12,2924,test
106075,22,1643,test
150218,31,3948,test
143296,30,2027,test
102967,21,3536,test
8240,1,3238,test
102990,21,3559,test
59156,12,1467,test
68820,14,1110,test
151483,32,212,test
7695,1,2693,test
3238,0,3238,test
97222,20,2795,test
73070,15,349,test
11140,2,1134,test
106563,22,2131,test
23760,4,3754,test
164415,34,3135,test
33634,6,3616,test
159875,33,3603,test
322,0,322,test
133017,28,1766,test
75501,15,2780,test
116053,24,1605,test
74063,15,1342,test
15444,3,438,test
43684,9,1012,test
119050,24,4602,test
33636,6,3618,test
32069,6,2051,test
162731,34,1451,test
145521,30,4252,test
49067,10,1382,test
96887,20,2460,test
65188,13,2486,test
120470,25,1021,test
154744,32,3473,test
53414,11,727,test
89164,18,4741,test
21315,4,1309,test
163754,34,2474,test
105586,22,1154,test
155676,32,4405,test
130428,27,4178,test
46205,9,3533,test
88980,18,4557,test
159292,33,3020,test
67648,13,4946,test
36000,7,981,test
84608,18,185,test
33644,6,3626,test
159277,33,3005,test
95928,20,1501,test
39869,7,4850,test
56862,11,4175,test
156730,33,458,test
148882,31,2612,test
127022,27,772,test
38762,7,3743,test
159765,33,3493,test
152394,32,1123,test
85242,18,819,test
6228,1,1226,test
60538,12,2849,test
25277,5,260,test
42044,8,2016,test
117945,24,3497,test
12002,2,1996,test
69486,14,1776,test
123604,25,4155,test
56263,11,3576,test
97252,20,2825,test
139036,29,2783,test
11083,2,1077,test
83189,17,459,test
18976,3,3970,test
95029,20,602,test
57772,12,83,test
80131,16,2410,test
59445,12,1756,test
122264,25,2815,test
34357,6,4339,test
163906,34,2626,test
109261,22,4829,test
88673,18,4250,test
32709,6,2691,test
65417,13,2715,test
151931,32,660,test
93820,19,4393,test
67647,13,4945,test
50060,10,2375,test
152385,32,1114,test
144202,30,2933,test
125834,26,1381,test
14042,2,4036,test
74271,15,1550,test
133236,28,1985,test
164500,34,3220,test
102896,21,3465,test
9359,1,4357,test
136001,28,4750,test
101976,21,2545,test
112338,23,2899,test
47848,10,163,test
98459,20,4032,test
88940,18,4517,test
85789,18,1366,test
71491,14,3781,test
37153,7,2134,test
15443,3,437,test
135709,28,4458,test
85387,18,964,test
87585,18,3162,test
48900,10,1215,test
6764,1,1762,test
12417,2,2411,test
12264,2,2258,test
24343,4,4337,test
34720,6,4702,test
138588,29,2335,test
63443,13,741,test
83734,17,1004,test
23761,4,3755,test
3465,0,3465,test
81409,16,3688,test
146505,31,235,test
58111,12,422,test
77907,16,186,test
155765,32,4494,test
137117,29,864,test
137286,29,1033,test
150810,31,4540,test
129429,27,3179,test
104103,21,4672,test
82815,17,85,test
75253,15,2532,test
150318,31,4048,test
18169,3,3163,test
136088,28,4837,test
4322,0,4322,test
42327,8,2299,test
37158,7,2139,test
131498,28,247,test
32871,6,2853,test
14144,2,4138,test
15410,3,404,test
109425,22,4993,test
62472,12,4783,test
162514,34,1234,test
87406,18,2983,test
83247,17,517,test
146241,30,4972,test
18978,3,3972,test
133235,28,1984,test
65418,13,2716,test
88600,18,4177,test
51163,10,3478,test
91295,19,1868,test
92277,19,2850,test
44367,9,1695,test
4702,0,4702,test
99180,20,4753,test
89659,19,232,test
74799,15,2078,test
32089,6,2071,test
99340,20,4913,test
44512,9,1840,test
82477,16,4756,test
52436,10,4751,test
46203,9,3531,test
84386,17,1656,test
64670,13,1968,test
137716,29,1463,test
148666,31,2396,test
98574,20,4147,test
114486,24,38,test
85786,18,1363,test
113270,23,3831,test
108906,22,4474,test
52335,10,4650,test
157694,33,1422,test
107108,22,2676,test
104253,21,4822,test
34683,6,4665,test
37151,7,2132,test
87507,18,3084,test
83282,17,552,test
117744,24,3296,test
98626,20,4199,test
22032,4,2026,test
64163,13,1461,test
129010,27,2760,test
105151,22,719,test
16982,3,1976,test
65669,13,2967,test
76589,15,3868,test
127013,27,763,test
103689,21,4258,test
102977,21,3546,test
151486,32,215,test
157653,33,1381,test
6645,1,1643,test
65245,13,2543,test
43780,9,1108,test
48378,10,693,test
30332,6,314,test
116344,24,1896,test
67321,13,4619,test
48888,10,1203,test
94444,20,17,test
49048,10,1363,test
82622,16,4901,test
70524,14,2814,test
133684,28,2433,test
33472,6,3454,test
43695,9,1023,test
17174,3,2168,test
119481,25,32,test
82463,16,4742,test
71380,14,3670,test
54817,11,2130,test
61171,12,3482,test
5820,1,818,test
154715,32,3444,test
86575,18,2152,test
72566,14,4856,test
96280,20,1853,test
82917,17,187,test
7698,1,2696,test
74740,15,2019,test
148713,31,2443,test
48546,10,861,test
62828,13,126,test
