source_contract,old_text,new_text,status,scientific_rationale,historical_effect,future_effect,owner_decision_required
S1_TSB_Fresh_Qualification_Protocol_Draft_v0.1.md,Q = completely fresh TSB qualification,B benchmark qualification may use transparently labeled development-exposed nuPlan sessions,REPLACED,Benchmark validity depends on mechanism and measurement validity; absolute historical freshness is not necessary for Claim B,Preserve every historical Q result and its original label,Future benchmark qualification uses B role and exposure ledger,true
S1_TSB_Fresh_Qualification_Protocol_Draft_v0.1.md,Q PASS automatically becomes D,Evidence role is assigned prospectively under U/B/V/C and never changes automatically,REPLACED,Automatic conversion obscures which decision an outcome influenced,No historical role is relabeled,Every future identity receives an explicit purpose and claim binding,true
S1_Data_Firewall_Draft_v0.1.json,Q can never participate in E,Benchmark-development exposure does not automatically prohibit V; E3/E4 restrictions remain claim-specific,REPLACED,"Controlled evaluation validity turns on adaptation of the tested method, not mere prior use",Old exclusions remain valid under the old firewall,Role-aware S2R must certify each future V identity,true
S1_BDD_Statistical_Analysis_Plan_Draft_v0.1.md,E is disjoint from every U/Q/D log and every historical scientific exposure,C prioritizes low/no relevant exposure; V excludes prohibited claim-relevant contamination,REPLACED,Large frozen controlled evaluation and low-exposure robustness answer distinct questions,242/243/5 capacity findings remain immutable historical results,Future V and C are separately bound before outcome access,true
S1_Data_Firewall_Draft_v0.1.json,Encoder cannot use Q/D/E outcomes,"Encoder architecture, objective, checkpoint and seed handling cannot use B/V/C Primary-related outcomes",PRESERVED_REWORDED,U-only encoder selection remains the strongest anti-bias firewall,No effect on historical training records,Any violation is E3 or E4 and blocks the corresponding claim,true
S1_Handcrafted_Challenger_Contract_Draft_v0.1.md,No post-E H modification,No H modification from V/C outcome after PRIMARY_FREEZE_POINT,PRESERVED_REWORDED,The prospective timing boundary is retained under the new roles,No historical H result is changed,Exact H implementation and preprocessing freeze before V,true
S1_BDD_Statistical_Analysis_Plan_Draft_v0.1.md,Numeric thresholds freeze on final D calibration before E,Calibration data and procedure freeze before V/C; V/C never recalibrate the original threshold,PRESERVED_REWORDED,Calibration/evaluation separation directly prevents outcome-driven adaptation,Historical calibration conclusions remain unchanged,S2R must bind calibration identities and hashes,true
S1_TSB_Fresh_Qualification_Protocol_Draft_v0.1.md,Q20/Q12 fresh-session capacity controls entry,Benchmark sample size and V/C capacity are separate prospective decisions,REPLACED,Benchmark engineering size cannot define controlled-evaluation eligibility,Q20 capacity blocker remains an old-policy result,B size and V/C size require separate justification,true
S2_Preflight_Readiness_Report_v1.md,S2_PREFLIGHT_BLOCKED_Q20_CAPACITY,"If approved, label capacity component S2_STRICT_FIREWALL_PREFLIGHT_HISTORICAL_RESULT and run role-aware S2R",SUPERSEDED_IF_APPROVED,The old preflight correctly tested a contract that the amendment prospectively replaces,No deletion or correction of the old report,Capacity blocker retires only after approval; engineering blockers remain,true
S1_BDD_Statistical_Analysis_Plan_Draft_v0.1.md,Paired/unpaired boundary,Keep paired controlled attribution and unpaired release-emulation estimands unchanged,PRESERVED,Exposure policy does not change statistical estimands,No historical effect,Any future change requires a separate Owner amendment,false
