global_row,source_group,task_key,task_value,embedding_distance_to_opposite_centroid,dominant_task_metrics,shard_id,local_row,scenario_id,target_agent_id,start,window_len,split
99407,B,task_hesitation,hesitation,62.196495056152344,"hesitation_lc_duration: Δ=1.781, d=0.775; hesitation_speed_drop: Δ=-1.563, d=-0.441; hesitation_abort_like_score: Δ=-0.1401, d=-0.323",20,4980,651e63ba367b8863,46,0,80,test
99407,B,task_queue_approach,queue_approach,61.956546783447266,"queue_rms_jerk: Δ=5.112, d=0.927; queue_stop_smoothness_score: Δ=-3.201, d=-0.894; queue_time_to_stop: Δ=-1.981, d=-0.751",20,4980,651e63ba367b8863,46,0,80,test
99407,B,task_lead_brake_response,lead_brake_response,61.93836212158203,"lead_brake_max_jerk_after_lead_brake: Δ=17.78, d=0.968; lead_brake_late_response_score: Δ=0.5954, d=0.641; lead_brake_peak_decel_after_lead_brake: Δ=1.426, d=0.634",20,4980,651e63ba367b8863,46,0,80,test
99407,B,task_yield_conflict,yield_conflict,61.910614013671875,"conflict_accel_score: Δ=3.086, d=1.82; assertiveness_score: Δ=1.994, d=1.51; yield_conflict_score: Δ=2.529, d=0.975",20,4980,651e63ba367b8863,46,0,80,test
99407,B,task_following,following,61.84566879272461,"following_max_abs_jerk: Δ=17.2, d=0.948; following_rms_jerk: Δ=4.83, d=0.821; following_aggressiveness_score: Δ=1.569, d=0.819",20,4980,651e63ba367b8863,46,0,80,test
157700,B,task_hesitation,hesitation,61.17703628540039,"hesitation_lc_duration: Δ=1.781, d=0.775; hesitation_speed_drop: Δ=-1.563, d=-0.441; hesitation_abort_like_score: Δ=-0.1401, d=-0.323",33,1428,226e22a0f02cca53,987,0,80,test
157700,B,task_lane_change,lane_change,60.99046325683594,"lc_max_lateral_speed: Δ=3.327, d=2.73; lc_sharpness_score: Δ=0.4112, d=2.19; lc_rms_lateral_accel: Δ=1.004, d=1.98",33,1428,226e22a0f02cca53,987,0,80,test
150576,B,task_hesitation,hesitation,58.56977462768555,"hesitation_lc_duration: Δ=1.781, d=0.775; hesitation_speed_drop: Δ=-1.563, d=-0.441; hesitation_abort_like_score: Δ=-0.1401, d=-0.323",31,4306,f5a1dc6555701a74,2668,0,80,test
96735,B,task_hesitation,hesitation,56.659141540527344,"hesitation_lc_duration: Δ=1.781, d=0.775; hesitation_speed_drop: Δ=-1.563, d=-0.441; hesitation_abort_like_score: Δ=-0.1401, d=-0.323",20,2308,4c5df74dbac4ecb8,36,0,80,test
19414,B,task_hesitation,hesitation,55.885231018066406,"hesitation_lc_duration: Δ=1.781, d=0.775; hesitation_speed_drop: Δ=-1.563, d=-0.441; hesitation_abort_like_score: Δ=-0.1401, d=-0.323",3,4408,ebde0d6cf5951317,478,0,80,test
49047,B,task_hesitation,hesitation,50.524410247802734,"hesitation_lc_duration: Δ=1.781, d=0.775; hesitation_speed_drop: Δ=-1.563, d=-0.441; hesitation_abort_like_score: Δ=-0.1401, d=-0.323",10,1362,d1e3246b77a656eb,8,0,80,test
14813,B,task_hesitation,hesitation,45.15964889526367,"hesitation_lc_duration: Δ=1.781, d=0.775; hesitation_speed_drop: Δ=-1.563, d=-0.441; hesitation_abort_like_score: Δ=-0.1401, d=-0.323",2,4807,4ca840e2c3bcb14c,2469,0,80,test
45090,B,task_hesitation,hesitation,41.16941833496094,"hesitation_lc_duration: Δ=1.781, d=0.775; hesitation_speed_drop: Δ=-1.563, d=-0.441; hesitation_abort_like_score: Δ=-0.1401, d=-0.323",9,2418,8231ed8f910219e0,1275,0,80,test
45090,B,task_yield_conflict,yield_conflict,41.1056022644043,"conflict_accel_score: Δ=3.086, d=1.82; assertiveness_score: Δ=1.994, d=1.51; yield_conflict_score: Δ=2.529, d=0.975",9,2418,8231ed8f910219e0,1275,0,80,test
152391,B,task_hesitation,hesitation,40.79150390625,"hesitation_lc_duration: Δ=1.781, d=0.775; hesitation_speed_drop: Δ=-1.563, d=-0.441; hesitation_abort_like_score: Δ=-0.1401, d=-0.323",32,1120,920e946cd40d366d,74,0,80,test
101977,B,task_hesitation,hesitation,40.709190368652344,"hesitation_lc_duration: Δ=1.781, d=0.775; hesitation_speed_drop: Δ=-1.563, d=-0.441; hesitation_abort_like_score: Δ=-0.1401, d=-0.323",21,2546,b99575f12393d9ac,248,0,80,test
101977,B,task_lane_change,lane_change,40.366485595703125,"lc_max_lateral_speed: Δ=3.327, d=2.73; lc_sharpness_score: Δ=0.4112, d=2.19; lc_rms_lateral_accel: Δ=1.004, d=1.98",21,2546,b99575f12393d9ac,248,0,80,test
81324,B,task_lane_change,lane_change,39.612545013427734,"lc_max_lateral_speed: Δ=3.327, d=2.73; lc_sharpness_score: Δ=0.4112, d=2.19; lc_rms_lateral_accel: Δ=1.004, d=1.98",16,3603,669e0814d244c460,101,0,80,test
122721,B,task_lane_change,lane_change,39.02435302734375,"lc_max_lateral_speed: Δ=3.327, d=2.73; lc_sharpness_score: Δ=0.4112, d=2.19; lc_rms_lateral_accel: Δ=1.004, d=1.98",25,3272,20fd292180e5cf04,641,0,80,test
157652,B,task_lane_change,lane_change,34.150577545166016,"lc_max_lateral_speed: Δ=3.327, d=2.73; lc_sharpness_score: Δ=0.4112, d=2.19; lc_rms_lateral_accel: Δ=1.004, d=1.98",33,1380,e655846fd3016b5d,995,0,80,test
