dose,dose_role,representation,candidate,seed,proxy_variable,proxy_provenance,association_model,n_rows,n_log_clusters,n_classes,grouped_balanced_accuracy,grouped_majority_baseline_balanced_accuracy,execution_status,formal_hypothesis_status,interpretation,evidence_level
dose0,PRIMARY,old64,old64,NOT_APPLICABLE,scenario_source_identity_proxy,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,80,nan,nan,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,A_seed3407,A,3407,scenario_source_identity_proxy,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,80,nan,nan,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,A_seed3408,A,3408,scenario_source_identity_proxy,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,80,nan,nan,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,A_seed3409,A,3409,scenario_source_identity_proxy,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,80,nan,nan,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,B_seed3407,B,3407,scenario_source_identity_proxy,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,80,nan,nan,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,B_seed3408,B,3408,scenario_source_identity_proxy,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,80,nan,nan,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,B_seed3409,B,3409,scenario_source_identity_proxy,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,80,nan,nan,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,C_seed3407,C,3407,scenario_source_identity_proxy,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,80,nan,nan,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,C_seed3408,C,3408,scenario_source_identity_proxy,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,80,nan,nan,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,C_seed3409,C,3409,scenario_source_identity_proxy,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,80,nan,nan,NOT_EVALUABLE_UNIQUE_PER_SCENARIO,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,old64,old64,NOT_APPLICABLE,map_location_proxy,NOT_EVALUABLE_SINGLE_CATEGORY,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_SINGLE_CATEGORY,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,A_seed3407,A,3407,map_location_proxy,NOT_EVALUABLE_SINGLE_CATEGORY,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_SINGLE_CATEGORY,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,A_seed3408,A,3408,map_location_proxy,NOT_EVALUABLE_SINGLE_CATEGORY,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_SINGLE_CATEGORY,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,A_seed3409,A,3409,map_location_proxy,NOT_EVALUABLE_SINGLE_CATEGORY,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_SINGLE_CATEGORY,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,B_seed3407,B,3407,map_location_proxy,NOT_EVALUABLE_SINGLE_CATEGORY,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_SINGLE_CATEGORY,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,B_seed3408,B,3408,map_location_proxy,NOT_EVALUABLE_SINGLE_CATEGORY,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_SINGLE_CATEGORY,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,B_seed3409,B,3409,map_location_proxy,NOT_EVALUABLE_SINGLE_CATEGORY,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_SINGLE_CATEGORY,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,C_seed3407,C,3407,map_location_proxy,NOT_EVALUABLE_SINGLE_CATEGORY,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_SINGLE_CATEGORY,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,C_seed3408,C,3408,map_location_proxy,NOT_EVALUABLE_SINGLE_CATEGORY,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_SINGLE_CATEGORY,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,C_seed3409,C,3409,map_location_proxy,NOT_EVALUABLE_SINGLE_CATEGORY,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_SINGLE_CATEGORY,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,old64,old64,NOT_APPLICABLE,route_road_geometry_proxy,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,PRIMARY,A_seed3407,A,3407,route_road_geometry_proxy,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,fixed C=1.0 L2 logistic with within-training-fold standardization; 5-fold GroupKFold by log_name,80,79,1,nan,nan,NOT_EVALUABLE_RETAINED_FIELD_UNKNOWN,INCONCLUSIVE_NO_FROZEN_SHORTCUT_NUMERICAL_GATE,High scenario/source prediction alone is not treated as a shortcut claim.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
