representation,semantic_family,pass_count,target_count,result,evidence_level
old64,longitudinal,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
old64,lateral,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
old64,interaction,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,longitudinal,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,lateral,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,interaction,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,longitudinal,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,lateral,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,interaction,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3409,longitudinal,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3409,lateral,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3409,interaction,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3407,longitudinal,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3407,lateral,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3407,interaction,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3408,longitudinal,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3408,lateral,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3408,interaction,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3409,longitudinal,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3409,lateral,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3409,interaction,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3407,longitudinal,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3407,lateral,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3407,interaction,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3408,longitudinal,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3408,lateral,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3408,interaction,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3409,longitudinal,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3409,lateral,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3409,interaction,3,3,SUPPORTED,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
