global_row,shard_id,local_row,split
86963,18,2540,test
141757,30,488,test
134922,28,3671,test
78553,16,832,test
142502,30,1233,test
78554,16,833,test
4319,0,4319,test
22605,4,2599,test
33098,6,3080,test
66733,13,4031,test
83278,17,548,test
13142,2,3136,test
162801,34,1521,test
109796,23,357,test
132185,28,934,test
142504,30,1235,test
145177,30,3908,test
153436,32,2165,test
109506,23,67,test
47082,9,4410,test
117,0,117,test
52336,10,4651,test
121815,25,2366,test
6741,1,1739,test
40436,8,408,test
93250,19,3823,test
57668,11,4981,test
62191,12,4502,test
78370,16,649,test
161026,33,4754,test
76760,15,4039,test
114183,23,4744,test
19512,3,4506,test
115344,24,896,test
27385,5,2368,test
36126,7,1107,test
85424,18,1001,test
34712,6,4694,test
20729,4,723,test
79070,16,1349,test
79247,16,1526,test
152648,32,1377,test
67417,13,4715,test
107097,22,2665,test
62397,12,4708,test
130433,27,4183,test
90646,19,1219,test
27626,5,2609,test
127068,27,818,test
94950,20,523,test
6633,1,1631,test
2543,0,2543,test
29807,5,4790,test
108345,22,3913,test
14041,2,4035,test
154805,32,3534,test
28315,5,3298,test
12841,2,2835,test
126453,27,203,test
676,0,676,test
89450,19,23,test
103513,21,4082,test
40499,8,471,test
45689,9,3017,test
28106,5,3089,test
61824,12,4135,test
80081,16,2360,test
36009,7,990,test
40580,8,552,test
98687,20,4260,test
50601,10,2916,test
110232,23,793,test
85586,18,1163,test
43693,9,1021,test
29637,5,4620,test
42066,8,2038,test
40827,8,799,test
150579,31,4309,test
61952,12,4263,test
158772,33,2500,test
115335,24,887,test
78826,16,1105,test
106553,22,2121,test
132409,28,1158,test
83735,17,1005,test
157714,33,1442,test
130396,27,4146,test
84631,18,208,test
38802,7,3783,test
54151,11,1464,test
84114,17,1384,test
105508,22,1076,test
88203,18,3780,test
73071,15,350,test
4433,0,4433,test
12558,2,2552,test
133045,28,1794,test
80942,16,3221,test
113273,23,3834,test
94942,20,515,test
138331,29,2078,test
75192,15,2471,test
134636,28,3385,test
27868,5,2851,test
111950,23,2511,test
42321,8,2293,test
29550,5,4533,test
9645,1,4643,test
160077,33,3805,test
66841,13,4139,test
11085,2,1079,test
28136,5,3119,test
46673,9,4001,test
38406,7,3387,test
118299,24,3851,test
133878,28,2627,test
110739,23,1300,test
38808,7,3789,test
108517,22,4085,test
5707,1,705,test
57171,11,4484,test
33297,6,3279,test
160070,33,3798,test
75259,15,2538,test
96814,20,2387,test
164124,34,2844,test
55797,11,3110,test
70423,14,2713,test
111949,23,2510,test
22609,4,2603,test
108772,22,4340,test
150214,31,3944,test
43891,9,1219,test
44947,9,2275,test
60299,12,2610,test
67235,13,4533,test
38794,7,3775,test
142152,30,883,test
85422,18,999,test
160083,33,3811,test
36094,7,1075,test
35999,7,980,test
142496,30,1227,test
38789,7,3770,test
132681,28,1430,test
142540,30,1271,test
78363,16,642,test
45899,9,3227,test
4787,0,4787,test
121895,25,2446,test
81184,16,3463,test
161591,34,311,test
155891,32,4620,test
115338,24,890,test
105715,22,1283,test
66144,13,3442,test
17255,3,2249,test
132172,28,921,test
27384,5,2367,test
122723,25,3274,test
50890,10,3205,test
62196,12,4507,test
130821,27,4571,test
114179,23,4740,test
40314,8,286,test
95565,20,1138,test
3738,0,3738,test
74769,15,2048,test
118288,24,3840,test
12513,2,2507,test
38408,7,3389,test
52889,11,202,test
119549,25,100,test
15568,3,562,test
136855,29,602,test
661,0,661,test
153078,32,1807,test
70418,14,2708,test
32668,6,2650,test
112327,23,2888,test
104159,21,4728,test
3772,0,3772,test
54667,11,1980,test
164,0,164,test
8303,1,3301,test
41222,8,1194,test
142185,30,916,test
60541,12,2852,test
34528,6,4510,test
70756,14,3046,test
121028,25,1579,test
40825,8,797,test
116892,24,2444,test
3679,0,3679,test
152434,32,1163,test
33149,6,3131,test
120478,25,1029,test
79959,16,2238,test
153919,32,2648,test
85418,18,995,test
18168,3,3162,test
159278,33,3006,test
156827,33,555,test
5081,1,79,test
108994,22,4562,test
54642,11,1955,test
101993,21,2562,test
137281,29,1028,test
82418,16,4697,test
127690,27,1440,test
87067,18,2644,test
50003,10,2318,test
144336,30,3067,test
69392,14,1682,test
194,0,194,test
93815,19,4388,test
146915,31,645,test
23448,4,3442,test
160064,33,3792,test
11549,2,1543,test
125681,26,1228,test
154800,32,3529,test
74774,15,2053,test
48237,10,552,test
60461,12,2772,test
52381,10,4696,test
154124,32,2853,test
164409,34,3129,test
34709,6,4691,test
102994,21,3563,test
115333,24,885,test
58092,12,403,test
118405,24,3957,test
2900,0,2900,test
105593,22,1161,test
26532,5,1515,test
98940,20,4513,test
58097,12,408,test
69911,14,2201,test
60761,12,3072,test
13914,2,3908,test
141418,30,149,test
13222,2,3216,test
26253,5,1236,test
127860,27,1610,test
158493,33,2221,test
88949,18,4526,test
32092,6,2074,test
52886,11,199,test
116950,24,2502,test
44027,9,1355,test
131442,28,191,test
153440,32,2169,test
15103,3,97,test
83045,17,315,test
12515,2,2509,test
7074,1,2072,test
