hypothesis_id,module,primary_metric,minimum_effect_or_gate,ci_rule,multiplicity_family,seed_rule,evidence_requirement,supported_rule,not_supported_rule,mixed_rule,inconclusive_rule,not_evaluable_rule,blocks_rbr_A,blocks_rbr_B,blocks_rbr_C,fallback_id
D0_LENGTH_EFFECT,D0,predeclared temporal retention/readout contrast,absolute paired standardized retention difference >= 0.10; 95% CI excludes 0,"95% log-cluster CI; BCa when estimable, declared percentile fallback",D0,>=2/3 fixed seeds direction-consistent,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,analysis evaluable and the frozen primary gate is met: absolute paired standardized retention difference >= 0.10; 95% CI excludes 0,analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,NONE
D0_POSITION_RETENTION_ASSOCIATION,D0,predeclared temporal retention/readout contrast,absolute paired standardized retention difference >= 0.10; 95% CI excludes 0,"95% log-cluster CI; BCa when estimable, declared percentile fallback",D0,>=2/3 fixed seeds direction-consistent,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,analysis evaluable and the frozen primary gate is met: absolute paired standardized retention difference >= 0.10; 95% CI excludes 0,analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,NONE
D0_POOLING_EFFECT,D0,predeclared temporal retention/readout contrast,absolute paired standardized retention difference >= 0.10; 95% CI excludes 0,"95% log-cluster CI; BCa when estimable, declared percentile fallback",D0,>=2/3 fixed seeds direction-consistent,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,analysis evaluable and the frozen primary gate is met: absolute paired standardized retention difference >= 0.10; 95% CI excludes 0,analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,NONE
D0_MASK_PADDING_SENSITIVITY,D0,predeclared temporal retention/readout contrast,absolute paired standardized retention difference >= 0.10; 95% CI excludes 0,"95% log-cluster CI; BCa when estimable, declared percentile fallback",D0,>=2/3 fixed seeds direction-consistent,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,analysis evaluable and the frozen primary gate is met: absolute paired standardized retention difference >= 0.10; 95% CI excludes 0,analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,NONE
D1_KNOWN_SEMANTIC_INFORMATION_PRESENT,D1,held-out grouped R2 (continuous) or balanced accuracy (categorical),continuous: R2 >= 0.10 and log-cluster 95% CI lower > 0; categorical: BA >= 0.60 and 95% CI lower > 0.50; each semantic family >=2/3 core targets,"95% log-cluster CI; BCa when estimable, declared percentile fallback",D1,>=2/3 learned representation families; A/B/C require >=2/3 seed direction consistency,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,analysis evaluable and the frozen primary gate is met: continuous: R2 >= 0.10 and log-cluster 95% CI lower > 0; categorical: BA >= 0.60 and 95% CI lower > 0.50; each semantic family >=2/3 core targets,analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,NONE
D1_CROSS_DOMAIN_SEMANTIC_TRANSFER,D1,predeclared grouped probe/geometry metric,"fixed D1 probe contract, grouped split and log-cluster CI; insufficient independent support is INCONCLUSIVE","95% log-cluster CI; BCa when estimable, declared percentile fallback",D1,>=2/3 applicable fixed seeds when replicated,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,"analysis evaluable and the frozen primary gate is met: fixed D1 probe contract, grouped split and log-cluster CI; insufficient independent support is INCONCLUSIVE",analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,NONE
D1_GEOMETRY_DEGENERACY,D1,predeclared grouped probe/geometry metric,"fixed D1 probe contract, grouped split and log-cluster CI; insufficient independent support is INCONCLUSIVE","95% log-cluster CI; BCa when estimable, declared percentile fallback",D1,>=2/3 applicable fixed seeds when replicated,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,"analysis evaluable and the frozen primary gate is met: fixed D1 probe contract, grouped split and log-cluster CI; insufficient independent support is INCONCLUSIVE",analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,NONE
D2_RESPONSE_SENSITIVITY,D2,predeclared matched/shuffle/ablation contrast,D2 fixed matching strata and OOD boundary; no causal coupling claim from natural-data shuffle alone,"95% log-cluster CI; BCa when estimable, declared percentile fallback",D2,>=2/3 fixed seeds when replicated,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,analysis evaluable and the frozen primary gate is met: D2 fixed matching strata and OOD boundary; no causal coupling claim from natural-data shuffle alone,analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,NONE
D2_CONTEXT_SENSITIVITY,D2,predeclared matched/shuffle/ablation contrast,D2 fixed matching strata and OOD boundary; no causal coupling claim from natural-data shuffle alone,"95% log-cluster CI; BCa when estimable, declared percentile fallback",D2,>=2/3 fixed seeds when replicated,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,analysis evaluable and the frozen primary gate is met: D2 fixed matching strata and OOD boundary; no causal coupling claim from natural-data shuffle alone,analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,NONE
D2_PAIRING_SENSITIVITY,D2,predeclared matched/shuffle/ablation contrast,D2 fixed matching strata and OOD boundary; no causal coupling claim from natural-data shuffle alone,"95% log-cluster CI; BCa when estimable, declared percentile fallback",D2,>=2/3 fixed seeds when replicated,DEVELOPMENT_DIAGNOSTIC_EVIDENCE; no confirmatory wording while audit holdout is NOT_AVAILABLE,analysis evaluable and the frozen primary gate is met: D2 fixed matching strata and OOD boundary; no causal coupling claim from natural-data shuffle alone,analysis evaluable and the frozen primary gate is not met,"predeclared applicable strata, representations, or fixed seeds have material directional conflict","independent units, class support, uncertainty, or prespecified evaluability requirements are insufficient","required frozen input, implementation contract, or valid analysis unit is unavailable",true,true,true,NONE
