dose,view,contract_status,execution,input_space,zero_semantics,valid_mask_policy,missingness_policy,slot_track_id_policy,derived_feature_policy,neighbor_absence_all_zero_verified,architecture_applicability,evidence_level
dose0,FULL,APPLICABLE,NOT_APPLICABLE,raw Stage5D 83D; learned encoder normalization=NONE,not applicable / unsafe for this view,ego_seq_mask preserved unchanged; model historical inference consumes fixed T150 without an external mask input,no native ego missingness encoding,not executed,all Stage5D features are historical inputs; no derived feature recomputed after ablation,True,Historical raw 83D Stage5D context input.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,EGO_ABLATED,NOT_APPLICABLE_TO_ARCHITECTURE,NOT_EXECUTED,raw Stage5D 83D; learned encoder normalization=NONE,not applicable / unsafe for this view,ego_seq_mask preserved unchanged; model historical inference consumes fixed T150 without an external mask input,no native ego missingness encoding,not executed,all Stage5D features are historical inputs; no derived feature recomputed after ablation,True,"Shared-83D GRU has no ego availability/missingness channel. Raw zero means physical origin/zero motion, not ego absence; zeroing would be an arbitrary OOD hack.",DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,NEIGHBOR_ABLATED,APPLICABLE_DIAGNOSTIC_NOT_HISTORICAL,EXECUTED,raw Stage5D 83D; learned encoder normalization=NONE,neighbor valid=0 plus all 15 channels zero,ego_seq_mask preserved unchanged; model historical inference consumes fixed T150 without an external mask input,neighbor absence is encoded by valid=0 and zeros,neighbor_slot_ids not consumed by encoder; ablation preserves sequence shape and changes each semantic slot to its documented absence sentinel,all Stage5D features are historical inputs; no derived feature recomputed after ablation,True,"Set 75 neighbor channels to zero in raw space. In every source tensor, valid=0 neighbor slots are exactly all-zero, so the view encodes no semantic neighbors while preserving ego and mask.",DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,CONTEXT_ONLY,NOT_APPLICABLE_TO_ARCHITECTURE,NOT_EXECUTED,raw Stage5D 83D; learned encoder normalization=NONE,not applicable / unsafe for this view,ego_seq_mask preserved unchanged; model historical inference consumes fixed T150 without an external mask input,no native ego missingness encoding,not executed,all Stage5D features are historical inputs; no derived feature recomputed after ablation,True,"The single shared 83D context branch contains ego channels; no native context-only/missing-ego contract exists. Raw ego zeros are physical values, not a missingness sentinel.",DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose0,CONTEXT_SHUFFLE,NOT_EVALUABLE_FROZEN_STRATA_UNAVAILABLE,NOT_EXECUTED,raw Stage5D 83D; learned encoder normalization=NONE,not applicable / unsafe for this view,ego_seq_mask preserved unchanged; model historical inference consumes fixed T150 without an external mask input,no native ego missingness encoding,not executed,all Stage5D features are historical inputs; no derived feature recomputed after ablation,True,The complete frozen six-way strata cannot be constructed from retained fields: no frozen event_phase_bin or pre-treatment traffic_density_tertile source/anchor is present. Coarsening cannot start without the original strata.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose25,FULL,APPLICABLE,NOT_APPLICABLE,raw Stage5D 83D; learned encoder normalization=NONE,not applicable / unsafe for this view,ego_seq_mask preserved unchanged; model historical inference consumes fixed T150 without an external mask input,no native ego missingness encoding,not executed,all Stage5D features are historical inputs; no derived feature recomputed after ablation,True,Historical raw 83D Stage5D context input.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose25,EGO_ABLATED,NOT_APPLICABLE_TO_ARCHITECTURE,NOT_EXECUTED,raw Stage5D 83D; learned encoder normalization=NONE,not applicable / unsafe for this view,ego_seq_mask preserved unchanged; model historical inference consumes fixed T150 without an external mask input,no native ego missingness encoding,not executed,all Stage5D features are historical inputs; no derived feature recomputed after ablation,True,"Shared-83D GRU has no ego availability/missingness channel. Raw zero means physical origin/zero motion, not ego absence; zeroing would be an arbitrary OOD hack.",DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose25,NEIGHBOR_ABLATED,APPLICABLE_DIAGNOSTIC_NOT_HISTORICAL,EXECUTED,raw Stage5D 83D; learned encoder normalization=NONE,neighbor valid=0 plus all 15 channels zero,ego_seq_mask preserved unchanged; model historical inference consumes fixed T150 without an external mask input,neighbor absence is encoded by valid=0 and zeros,neighbor_slot_ids not consumed by encoder; ablation preserves sequence shape and changes each semantic slot to its documented absence sentinel,all Stage5D features are historical inputs; no derived feature recomputed after ablation,True,"Set 75 neighbor channels to zero in raw space. In every source tensor, valid=0 neighbor slots are exactly all-zero, so the view encodes no semantic neighbors while preserving ego and mask.",DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose25,CONTEXT_ONLY,NOT_APPLICABLE_TO_ARCHITECTURE,NOT_EXECUTED,raw Stage5D 83D; learned encoder normalization=NONE,not applicable / unsafe for this view,ego_seq_mask preserved unchanged; model historical inference consumes fixed T150 without an external mask input,no native ego missingness encoding,not executed,all Stage5D features are historical inputs; no derived feature recomputed after ablation,True,"The single shared 83D context branch contains ego channels; no native context-only/missing-ego contract exists. Raw ego zeros are physical values, not a missingness sentinel.",DEVELOPMENT_DIAGNOSTIC_EVIDENCE
dose25,CONTEXT_SHUFFLE,NOT_EVALUABLE_FROZEN_STRATA_UNAVAILABLE,NOT_EXECUTED,raw Stage5D 83D; learned encoder normalization=NONE,not applicable / unsafe for this view,ego_seq_mask preserved unchanged; model historical inference consumes fixed T150 without an external mask input,no native ego missingness encoding,not executed,all Stage5D features are historical inputs; no derived feature recomputed after ablation,True,The complete frozen six-way strata cannot be constructed from retained fields: no frozen event_phase_bin or pre-treatment traffic_density_tertile source/anchor is present. Coarsening cannot start without the original strata.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
