asset_id,asset_class,logical_name,role,data_tier,repo_or_source,branch_or_version,path_or_locator,seed,local_sha256,shape_or_contract,source_status,blocks_v1_freeze,allowed_use,prohibited_use,notes
A000B,repo,stageR_base_commit,StageR base provenance,R0_DEVELOPMENT,forwardxp-021/E2E-Evaluation,20260825_stageR_new,git commit,,460832bde6266f1367a10bfe00e9b3bc176740ce,git commit,LOCAL_VERIFIED,NO,StageR provenance,Do not call current HEAD,Local audit executed on this commit
A000G,repo,r0_governance_initial_commit,Initial committed R0 governance snapshot,R0_DEVELOPMENT,forwardxp-021/E2E-Evaluation,20260825_stageR_new,git commit,,0240032511deab32247c233c469b66a45a4888c8,git commit,LOCAL_VERIFIED,NO,R0 governance provenance,Do not call StageR base commit,Remote verified after fetch
A000C,repo,current_stageR_head,Dynamic active code state,R0_DEVELOPMENT,forwardxp-021/E2E-Evaluation,20260825_stageR_new,git rev-parse HEAD,,,dynamic; observed pre-integration efa422c20011920d3a8f857ce42e2b0ca6775071,LOCAL_VERIFIED,YES,Bind at R0 v1 freeze,Do not hard-code an earlier HEAD,Must be re-read after final commit
A000H,repo,historical_gen1_reference,Generation-1 historical provenance,HISTORICAL_DEVELOPMENT_ONLY,forwardxp-021/E2E-Evaluation,20260611_stage7_conclusion,branch/commit history,,,historical reference only,LOCAL_VERIFIED,NO,Historical provenance,Do not infer artifact SHA from branch alone,
P001,protected_output,behavior_event_metrics_v2,Pre-existing modified historical asset,HISTORICAL_DEVELOPMENT_ONLY,local workspace,,outputs/waymo_5neighbor_context_laneaware_clean_v1_full51_merged/behavior_events_v2/behavior_event_metrics_v2.csv,,e8deb93312e82183b6c2c0db30fd18cbf9c32d32d566038419a5be65b389d9d8,modified tracked CSV,LOCAL_VERIFIED,YES,Read-only provenance,Modify regenerate overwrite,Pre-existing modification preserved
C001,code,stage6u_unified_abc_trainer,A/B/C trainer and encoder contract,R0_DEVELOPMENT,local repo,20260825_stageR_new,tools/stage6u_unified_abc_trainer.py,,b6b08f1bb56b3818af635468657066dfd6879c016203140597f2fd3c0bdeccd1,source file,LOCAL_VERIFIED,NO,Read-only implementation trace,Modify during R0 verification,
C002,config,stage6t_training_evaluation_protocol,Frozen A/B/C protocol,R0_DEVELOPMENT,local repo,20260825_stageR_new,configs/stage6t_training_evaluation_protocol.json,,0d402d5ff845f5ab490f09295a60d043ef5c84e9ec0b865898285b03d9636570,source config,LOCAL_VERIFIED,NO,Contract trace,Modify historical protocol,
C003,code,stage7l_input_contract,Stage7L context preparation,R0_DEVELOPMENT,local repo,20260825_stageR_new,tools/stage7l_e_prepare_input_contract.py,,79ae1860e26698ff5211278ab6965d9143428dd10a6d0874b82aed2a02d8acbb,source file,LOCAL_VERIFIED,NO,D0 contract trace,Modify historical implementation,
C004,code,stage7l_inference_bdd,Stage7L inference and paired BDD,R0_DEVELOPMENT,local repo,20260825_stageR_new,tools/stage7l_e_run_prospective_bdd.py,,9eb9afeacf99fac209a2e380004e3d129c9e0d64a5fc474a879952ff05c10475,source file,LOCAL_VERIFIED,NO,D0/D3 trace,Modify historical implementation,
C005,code,ego13_implementation,Exact ego13 implementation,R0_DEVELOPMENT,local repo,20260825_stageR_new,tools/stage6l_prepare_context_representation_ablation.py,,293e420b82b8c983d91d35d5f10ba4e57b7b745ad71308ebb9ef5e8170ee319d,13D ordered schema,LOCAL_VERIFIED,NO,D1/D3/D4 baseline,Replace with prose reconstruction,
