target_id,feature,definition,physical_scale_unit,measurement_noise_reproducibility,historical_natural_variability,potential_business_behavior_relevance,proposed_equivalence_margin,rationale_category,status,power_only_margin
ego13.mean_speed,mean_speed,Mean speed over valid frames,m/s,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Stage6L dose100 conservative reference IQR=5.68527398 m/s; n=183,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
ego13.std_speed,std_speed,Population standard deviation of speed over valid frames,m/s,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Stage6L dose100 conservative reference IQR=1.20298011 m/s; n=183,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
ego13.p95_speed,p95_speed,95th percentile speed over valid frames,m/s,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Stage6L dose100 conservative reference IQR=8.02996781 m/s; n=183,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
ego13.end_minus_start_speed,end_minus_start_speed,Last valid speed minus first valid speed,m/s,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Stage6L dose100 conservative reference IQR=3.17648759 m/s; n=183,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
ego13.rms_accel,rms_accel,RMS of speed-derived acceleration with dt=0.1 s,m/s^2,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Stage6L dose100 conservative reference IQR=0.45490786 m/s^2; n=183,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
ego13.mean_abs_accel,mean_abs_accel,Mean absolute speed-derived acceleration,m/s^2,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Stage6L dose100 conservative reference IQR=0.340841838 m/s^2; n=183,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
ego13.p95_abs_accel,p95_abs_accel,95th percentile absolute speed-derived acceleration,m/s^2,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Stage6L dose100 conservative reference IQR=0.937609464 m/s^2; n=183,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
ego13.rms_jerk,rms_jerk,RMS of acceleration-derived jerk,m/s^3,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Stage6L dose100 conservative reference IQR=0.988484118 m/s^3; n=183,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
ego13.p95_abs_jerk,p95_abs_jerk,95th percentile absolute acceleration-derived jerk,m/s^3,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Stage6L dose100 conservative reference IQR=1.16819686 m/s^3; n=183,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
ego13.rms_yaw_rate,rms_yaw_rate,RMS of wrapped-heading-derived yaw rate,rad/s,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Stage6L dose100 conservative reference IQR=0.03493523 rad/s; n=183,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
ego13.mean_abs_yaw_rate,mean_abs_yaw_rate,Mean absolute wrapped-heading-derived yaw rate,rad/s,NOT_QUANTIFIED_FROM_REPEATED_MEASUREMENT,Stage6L dose100 conservative reference IQR=0.0213989615 rad/s; n=183,candidate matching descriptor; material tolerance requires scientific/domain owner judgment,,HISTORICAL_VARIABILITY,REQUIRES_SCIENTIFIC_OWNER_APPROVAL,false
