representation,readout,nominal_fpr,empirical_fpr,upper95_ci,independent_null_units,result,reason,evidence_level
old64,R_full64,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
old64,R_linear_task,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
old64,R_fixed_semantic,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,R_full64,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,R_linear_task,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3407,R_fixed_semantic,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,R_full64,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,R_linear_task,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3408,R_fixed_semantic,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3409,R_full64,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3409,R_linear_task,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
A_seed3409,R_fixed_semantic,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3407,R_full64,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3407,R_linear_task,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3407,R_fixed_semantic,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3408,R_full64,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3408,R_linear_task,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3408,R_fixed_semantic,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3409,R_full64,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3409,R_linear_task,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
B_seed3409,R_fixed_semantic,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3407,R_full64,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3407,R_linear_task,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3407,R_fixed_semantic,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3408,R_full64,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3408,R_linear_task,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3408,R_fixed_semantic,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3409,R_full64,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3409,R_linear_task,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
C_seed3409,R_fixed_semantic,0.05,INCONCLUSIVE,INCONCLUSIVE,1,INCONCLUSIVE,One historical paired pure-lateral population is not an independent null calibration series.,DEVELOPMENT_DIAGNOSTIC_EVIDENCE
