contract_id,module,contract_question,historical_or_remote_evidence,source_status,local_verification_action,required_output,blocking_for_v1,candidate_impact,result_status,verified_value,evidence_sha_or_path,notes
C000,Global,"What is the current StageR local branch/HEAD/status, and what commits actually produced frozen historical assets?",Active remote StageR branch 20260825_stageR_new HEAD 460832bde6266f1367a10bfe00e9b3bc176740ce; historical Gen-1 branch 20260611_stage7_conclusion HEAD 0f6fefd4363bdfcdeec37f3f7d38782516ba72dd; artifact-producing local SHAs remain unverified.,LOCAL_VERIFICATION_REQUIRED,git branch --show-current; git rev-parse HEAD; git status --short; compare origin/20260825_stageR_new; trace checkpoint/config/log provenance,r0_local_contract_verification.json,YES,A/B/C,,,,Current StageR branch identity and historical artifact provenance are separate contracts.
C001,D0,What T did A/B/C actually see during training?,Waymo builder remote default window_len=80,LOCAL_VERIFICATION_REQUIRED,Inspect actual train tensor shape + training config/CLI for each candidate/seed,exact T per candidate/seed,YES,A/B/C,,,,Tensor/config wins over documentation.
C002,D0,What exact T did Stage7L feed to each Gen-1 encoder?,Historical discussion says 150; not locally verified,LOCAL_VERIFICATION_REQUIRED,Inspect Stage7L context tensors and inference invocation,exact input shape per representation,YES,B/C primary,,,,Critical 80/150 audit.
C003,D0,How does Gen-1 encoder pool temporal hidden states?,Single-GRU / final hidden is historical hypothesis,LOCAL_VERIFICATION_REQUIRED,Trace encoder forward() and inference path,last/mean/max/attention + tensor dimensions,YES,A/B/C,,,,Do not call final-hidden forgetting until verified.
C004,D0,Are mask/padding/variable lengths consumed by encoder?,Unknown,LOCAL_VERIFICATION_REQUIRED,Trace Dataset/collate/forward mask logic,mask contract,YES,A/B/C,,,,
C005,D0/D2,How are slot-ID switches handled in nuPlan context?,Remote adapter documents derivative reset/invalidation on identity switch,REMOTE_VERIFIED,Verify local adapter version and output validity/mask behavior,slot-switch temporal validity contract,YES,B/C,,,,Remote formula contract known; actual local run still verify.
C006,D1,What exact 13 ego features define ego13?,Historical descriptions are incomplete for formal freeze,LOCAL_VERIFICATION_REQUIRED,Locate exact source/schema and formulas,ordered 13-feature schema + SHA,YES,All,,,,
C007,D1,What normalization/scaler is applied before A/B/C?,Unknown,LOCAL_VERIFICATION_REQUIRED,Locate saved scaler/config; compare train/inference,feature order + normalization statistics SHA,YES,A/B/C,,,,Also required to define zero/median ablation in D2.
C008,D1,Do all A/B/C seeds 3407/3408/3409 exist and correspond to same protocol?,3407 historical primary; 3408/3409 required for R0 replication but existence unverified,LOCAL_VERIFICATION_REQUIRED,Enumerate checkpoint files + metadata/config + SHA256,seed roster table,YES,A/B/C,,,,No replacement by newly trained seeds.
C009,D1,What is latent dimensionality and state_dict architecture per checkpoint?,Expected 64D,LOCAL_VERIFICATION_REQUIRED,Read checkpoint metadata/state_dict shapes read-only,architecture signature,YES,A/B/C,,,,
C010,D2,What is physically/normalized zero for ego/neighbor channels?,Unknown,LOCAL_VERIFICATION_REQUIRED,Combine feature schema + scaler; define ablation values,D2 ablation contract,YES,C formal; A/B diagnostics,,,,
C011,D2,How are valid masks/missingness changed during zero/neighbor ablations?,Unknown,LOCAL_VERIFICATION_REQUIRED,Trace input schema and define synchronized ablation,mask/missingness rule,YES,C formal,,,,Gen-1 ablations remain sensitivity only.
C012,D3,Which MMD estimator is actually used?,Historical: biased kernel MMD² typically,LOCAL_VERIFICATION_REQUIRED,Trace code + historical CLI/result metadata,"biased/unbiased, kernel, formula",YES,All measurement,,,,
C013,D3,How is RBF bandwidth selected?,Not safely frozen from prose,LOCAL_VERIFICATION_REQUIRED,Trace BDD code/config/results,bandwidth source + rule,YES,All measurement,,,,
C014,D3,What null/permutation protocol is used in paired vs unpaired analyses?,Historical paired pair-label-swap vs unpaired A/A-calibrated null,LOCAL_VERIFICATION_REQUIRED,Locate exact manifests/CLI and permutation seeds/count,null definition per evaluation_mode,YES,All measurement,,,,Preserve paired/unpaired estimand distinction.
C015,D3,What are Stage6P independent/permutation units?,Historical n=400 trials,LOCAL_VERIFICATION_REQUIRED,Inspect trial manifest generator/results,independence/permutation/bootstrap unit,YES,Release monitoring,,,,
C016,D4,Can R0_DEVELOPMENT and R0_AUDIT_HOLDOUT be made log/scenario-disjoint with adequate power?,Unknown,LOCAL_VERIFICATION_REQUIRED,Inventory all eligible logs/scenarios; compute counts only before threshold fitting,split feasibility report,YES,All,,,,"If no holdout, evidence downgraded to DEVELOPMENT_DIAGNOSTIC_EVIDENCE."
C017,D4,Can FUTURE_R4_RESERVED_POOL be locked without seeing RBR outcomes?,Unknown,LOCAL_VERIFICATION_REQUIRED,Identify unused token/source/generator pools using pre-treatment metadata only,reserved pool manifest/generator hash,YES,All formal training,,,,
C018,D4,Controlled planner confirmation roster selection timing?,v0.4 requires pre-treatment roster freeze,PROTOCOL_FROZEN_RULE,No local fact check; implement in R1/R4 manifests,pre-treatment roster timestamp/SHA,YES,R4,,,,Whole-frozen-roster Primary; no mechanism-success survivor filtering.
C019,Global,Is protected local modified behavior_event_metrics_v2.csv preserved?,Historical local constraint,LOCAL_VERIFICATION_REQUIRED,git status --short; sha256sum file; no reset/clean,preservation record,NO,Safety,,,,Do not modify/delete during inventory.
