source_family,source_task_or_group,unified_dimension_id,mapping_role,mapping_strength,evidence_class,profile_use,notes
Stage5 representation groups,following,LON.CAR_FOLLOWING,secondary,REPRESENTATION_EVALUATION_ONLY,representation_training_or_validation,scorecard_only,Does not by itself constitute a BDD behavior profile
Stage5 representation groups,longitudinal,LON.ACCEL_DECEL,primary,REPRESENTATION_EVALUATION_ONLY,representation_training_or_validation,scorecard_only,Does not provide Reference-to-Target behavior direction
Stage5 representation groups,lateral,LAT.DYNAMICS,primary,REPRESENTATION_EVALUATION_ONLY,representation_training_or_validation,scorecard_only,Lane-change proxy features may contribute but are not an exact lane-change BDD
Stage5 representation groups,behavior_proxy,OVR.ALL,secondary,REPRESENTATION_EVALUATION_ONLY,representation_training_or_validation,scorecard_only,Mixed proxy bundle
Stage6C v2,task_following,INT.LONG_FOLLOWING,primary,TASK_SLICE_PROXY,task_conditioned_bdd,profile_allowed,Also maps secondarily to LON.CAR_FOLLOWING; detector strength must be reported
Stage6C v2,task_following,LON.CAR_FOLLOWING,secondary,TASK_SLICE_PROXY,task_conditioned_bdd,profile_allowed,Shared parent BDD with INT.LONG_FOLLOWING
Stage6C v2,task_lead_brake_response,LON.CLOSING_RESPONSE,primary,MIXED_PROXY,task_conditioned_bdd,profile_proxy_only,Uses front-closing derivative until raw lead acceleration is available
Stage6C v2,task_queue_approach,LON.ACCEL_DECEL,primary,MIXED_PROXY,task_conditioned_bdd,profile_proxy_only,Exact stopped-front interpretation requires valid front speed
Stage6C v2,task_queue_approach,LON.COMFORT,secondary,MIXED_PROXY,semantic_metrics,profile_proxy_only,Shared parent BDD; jerk/deceleration are semantic explanation
Stage6C v2,task_lane_change,LAT.LANE_CHANGE,primary,TASK_SLICE_PROXY,task_conditioned_bdd,profile_allowed,Allowed only when detector is not broad and positive ratio is within frozen quality rule
Stage6C v2,task_lane_change,LAT.DYNAMICS,secondary,TASK_SLICE_PROXY,semantic_metrics,profile_allowed,Shared parent BDD; yaw/curvature/lateral acceleration explain direction
Stage6C v2,task_lane_change,INT.LATERAL_GAP,secondary,MIXED_PROXY,semantic_metrics,profile_proxy_only,Requires valid target-lane front/rear gap metrics
Stage6C v2,task_cutin_response,INT.MERGE_YIELD_CUTIN,primary,INSUFFICIENT_FOR_DIMENSION_CLAIM,proxy_task,profile_not_confirmatory,Current detector is gap-drop proxy rather than true slot-transition cut-in
Stage6C v2,task_overtake_opportunity,INT.LATERAL_GAP,secondary,MIXED_PROXY,proxy_task,profile_proxy_only,Opportunity is exposure and not behavior outcome
Stage6C v2,task_overtake_executed,LAT.LANE_CHANGE,secondary,MIXED_PROXY,proxy_task,profile_proxy_only,Execution remains proxy-based
Stage6C v2,task_hesitation,LAT.DYNAMICS,secondary,MIXED_PROXY,proxy_task,profile_proxy_only,Only usable when detector is not broad
Stage6C v2,task_yield_conflict,INT.MERGE_YIELD_CUTIN,primary,MIXED_PROXY,task_conditioned_bdd,profile_proxy_only,Yield-conflict is broader than merge/yield/cut-in exact event taxonomy
Stage6C dynamic exposure,exposure_free_cruising,LON.FREE_FLOW_SPEED,primary,MIXED_PROXY,proxy_task,profile_proxy_only,Requires low interaction pressure and a frozen free-flow semantic speed definition
Current frozen inventory,no_exact_lane_keeping_task,LAT.LANE_KEEPING,primary,INSUFFICIENT_FOR_DIMENSION_CLAIM,evidence_gap,profile_not_available,No frozen exact lane-keeping BDD with bound semantic delta
Stage7 locked confirmation,overall,OVR.ALL,primary,EXACT_DIMENSION,paired_bdd,profile_allowed,Original old64 overall planner-conditioned behavior drift
Stage7 locked confirmation,following_interaction,INT.LONG_FOLLOWING,primary,TASK_SLICE_PROXY,paired_task_bdd,profile_allowed,Pre-treatment following scenario slice
