residual_family,source_id,source_stage,source_root,candidate_source_status,scenario_or_token_count,independence_unit,unique_logs,raw_trajectory_availability,context_availability,f_match_availability,m_behavior_availability,mechanism_derivability,runnability_completeness,historical_outcome_exposure,allowed_evidence_role,notes
R-HLC,waymo_dynamic_v2,Waymo Dynamic-v2 / Stage6R,outputs/stage6r_dynamic_full51_semantic_strict_v1,NOT_A_FROZEN_FAMILY_CANDIDATE,24872,scenario token (log-clustered where log exists),0,AVAILABLE,CONTEXT_MATCH_NOT_EVALUABLE,AMBIGUOUS,NOT_AVAILABLE,NOT_EVALUABLE_MECHANISM_VARIABLE,RAW_ASSET_PRESENT_READ_ONLY,BUILD_MANIFEST_DECLARES_embedding_or_checkpoint_read=false; no outcome file opened in Wave3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE_ONLY; never R4 confirmation or outcome-guided selection,broad natural DEVELOPMENT source; no frozen residual-family label or paired contrast
R-TSB,waymo_dynamic_v2,Waymo Dynamic-v2 / Stage6R,outputs/stage6r_dynamic_full51_semantic_strict_v1,NOT_A_FROZEN_FAMILY_CANDIDATE,24872,scenario token (log-clustered where log exists),0,AVAILABLE,CONTEXT_MATCH_NOT_EVALUABLE,AMBIGUOUS,NOT_AVAILABLE,NOT_EVALUABLE_MECHANISM_VARIABLE,RAW_ASSET_PRESENT_READ_ONLY,BUILD_MANIFEST_DECLARES_embedding_or_checkpoint_read=false; no outcome file opened in Wave3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE_ONLY; never R4 confirmation or outcome-guided selection,broad natural DEVELOPMENT source; no frozen residual-family label or paired contrast
R-IP,waymo_dynamic_v2,Waymo Dynamic-v2 / Stage6R,outputs/stage6r_dynamic_full51_semantic_strict_v1,NOT_A_FROZEN_FAMILY_CANDIDATE,24872,scenario token (log-clustered where log exists),0,AVAILABLE,CONTEXT_MATCH_NOT_EVALUABLE,AMBIGUOUS,NOT_AVAILABLE,NOT_EVALUABLE_MECHANISM_VARIABLE,RAW_ASSET_PRESENT_READ_ONLY,BUILD_MANIFEST_DECLARES_embedding_or_checkpoint_read=false; no outcome file opened in Wave3,DEVELOPMENT_DIAGNOSTIC_EVIDENCE_ONLY; never R4 confirmation or outcome-guided selection,broad natural DEVELOPMENT source; no frozen residual-family label or paired contrast
R-HLC,stage6j_pure_longitudinal,Stage6J pure longitudinal,outputs/stage6j_pure_longitudinal_context_v1,NOT_A_FROZEN_FAMILY_CANDIDATE,183,scenario token (log-clustered where log exists),156,AVAILABLE,CONTEXT_MATCH_NOT_EVALUABLE,AVAILABLE_DERIVABLE_WITH_FROZEN_DEFINITION,PARTIAL_RAW33_ONLY_MECHANISM_NOT_EVALUABLE,NOT_EVALUABLE_MECHANISM_VARIABLE,RAW_ASSET_PRESENT_READ_ONLY,historical representation/BDD artifacts may exist; not opened or used for Wave3 selection,DEVELOPMENT_DIAGNOSTIC_EVIDENCE_ONLY; never R4 confirmation or outcome-guided selection,controlled longitudinal policy contrast; candidate only before D4 matching
R-TSB,stage6j_pure_longitudinal,Stage6J pure longitudinal,outputs/stage6j_pure_longitudinal_context_v1,CANDIDATE_SOURCE_PREMATCH_ONLY,183,scenario token (log-clustered where log exists),156,AVAILABLE,CONTEXT_MATCH_NOT_EVALUABLE,AVAILABLE_DERIVABLE_WITH_FROZEN_DEFINITION,PARTIAL_RAW33_ONLY_MECHANISM_NOT_EVALUABLE,NOT_EVALUABLE_MECHANISM_VARIABLE,RAW_ASSET_PRESENT_READ_ONLY,historical representation/BDD artifacts may exist; not opened or used for Wave3 selection,DEVELOPMENT_DIAGNOSTIC_EVIDENCE_ONLY; never R4 confirmation or outcome-guided selection,controlled longitudinal policy contrast; candidate only before D4 matching
R-IP,stage6j_pure_longitudinal,Stage6J pure longitudinal,outputs/stage6j_pure_longitudinal_context_v1,NOT_A_FROZEN_FAMILY_CANDIDATE,183,scenario token (log-clustered where log exists),156,AVAILABLE,CONTEXT_MATCH_NOT_EVALUABLE,AVAILABLE_DERIVABLE_WITH_FROZEN_DEFINITION,PARTIAL_RAW33_ONLY_MECHANISM_NOT_EVALUABLE,NOT_EVALUABLE_MECHANISM_VARIABLE,RAW_ASSET_PRESENT_READ_ONLY,historical representation/BDD artifacts may exist; not opened or used for Wave3 selection,DEVELOPMENT_DIAGNOSTIC_EVIDENCE_ONLY; never R4 confirmation or outcome-guided selection,controlled longitudinal policy contrast; candidate only before D4 matching
R-HLC,stage6k_longitudinal_dose,Stage6K longitudinal dose,outputs/stage6k_longitudinal_dose_context_v2_runtime_repaired/dose25,NOT_A_FROZEN_FAMILY_CANDIDATE,183,scenario token (log-clustered where log exists),156,AVAILABLE,CONTEXT_MATCH_NOT_EVALUABLE,AVAILABLE_DERIVABLE_WITH_FROZEN_DEFINITION,PARTIAL_RAW33_ONLY_MECHANISM_NOT_EVALUABLE,NOT_EVALUABLE_MECHANISM_VARIABLE,RAW_ASSET_PRESENT_READ_ONLY,historical representation/BDD artifacts may exist; not opened or used for Wave3 selection,DEVELOPMENT_DIAGNOSTIC_EVIDENCE_ONLY; never R4 confirmation or outcome-guided selection,controlled longitudinal dose contrast; candidate only before D4 matching
R-TSB,stage6k_longitudinal_dose,Stage6K longitudinal dose,outputs/stage6k_longitudinal_dose_context_v2_runtime_repaired/dose25,CANDIDATE_SOURCE_PREMATCH_ONLY,183,scenario token (log-clustered where log exists),156,AVAILABLE,CONTEXT_MATCH_NOT_EVALUABLE,AVAILABLE_DERIVABLE_WITH_FROZEN_DEFINITION,PARTIAL_RAW33_ONLY_MECHANISM_NOT_EVALUABLE,NOT_EVALUABLE_MECHANISM_VARIABLE,RAW_ASSET_PRESENT_READ_ONLY,historical representation/BDD artifacts may exist; not opened or used for Wave3 selection,DEVELOPMENT_DIAGNOSTIC_EVIDENCE_ONLY; never R4 confirmation or outcome-guided selection,controlled longitudinal dose contrast; candidate only before D4 matching
R-IP,stage6k_longitudinal_dose,Stage6K longitudinal dose,outputs/stage6k_longitudinal_dose_context_v2_runtime_repaired/dose25,NOT_A_FROZEN_FAMILY_CANDIDATE,183,scenario token (log-clustered where log exists),156,AVAILABLE,CONTEXT_MATCH_NOT_EVALUABLE,AVAILABLE_DERIVABLE_WITH_FROZEN_DEFINITION,PARTIAL_RAW33_ONLY_MECHANISM_NOT_EVALUABLE,NOT_EVALUABLE_MECHANISM_VARIABLE,RAW_ASSET_PRESENT_READ_ONLY,historical representation/BDD artifacts may exist; not opened or used for Wave3 selection,DEVELOPMENT_DIAGNOSTIC_EVIDENCE_ONLY; never R4 confirmation or outcome-guided selection,controlled longitudinal dose contrast; candidate only before D4 matching
R-HLC,stage6s_v3_interaction,Stage6S-v3 interaction confirmation,outputs/stage6s_v3_confirmation_context_v1,NOT_A_FROZEN_FAMILY_CANDIDATE,80,scenario token (log-clustered where log exists),11,AVAILABLE,CONTEXT_MATCH_NOT_EVALUABLE,AVAILABLE_DERIVABLE_WITH_FROZEN_DEFINITION,PARTIAL_RAW33_ONLY_MECHANISM_NOT_EVALUABLE,NOT_EVALUABLE_MECHANISM_VARIABLE,RAW_ASSET_PRESENT_READ_ONLY,historical mechanism/representation artifacts may exist; no outcome table opened or used for Wave3 selection,DEVELOPMENT_DIAGNOSTIC_EVIDENCE_ONLY; never R4 confirmation or outcome-guided selection,controlled interaction headway contrast; candidate only before D4 matching
R-TSB,stage6s_v3_interaction,Stage6S-v3 interaction confirmation,outputs/stage6s_v3_confirmation_context_v1,NOT_A_FROZEN_FAMILY_CANDIDATE,80,scenario token (log-clustered where log exists),11,AVAILABLE,CONTEXT_MATCH_NOT_EVALUABLE,AVAILABLE_DERIVABLE_WITH_FROZEN_DEFINITION,PARTIAL_RAW33_ONLY_MECHANISM_NOT_EVALUABLE,NOT_EVALUABLE_MECHANISM_VARIABLE,RAW_ASSET_PRESENT_READ_ONLY,historical mechanism/representation artifacts may exist; no outcome table opened or used for Wave3 selection,DEVELOPMENT_DIAGNOSTIC_EVIDENCE_ONLY; never R4 confirmation or outcome-guided selection,controlled interaction headway contrast; candidate only before D4 matching
R-IP,stage6s_v3_interaction,Stage6S-v3 interaction confirmation,outputs/stage6s_v3_confirmation_context_v1,CANDIDATE_SOURCE_PREMATCH_ONLY,80,scenario token (log-clustered where log exists),11,AVAILABLE,CONTEXT_MATCH_NOT_EVALUABLE,AVAILABLE_DERIVABLE_WITH_FROZEN_DEFINITION,PARTIAL_RAW33_ONLY_MECHANISM_NOT_EVALUABLE,NOT_EVALUABLE_MECHANISM_VARIABLE,RAW_ASSET_PRESENT_READ_ONLY,historical mechanism/representation artifacts may exist; no outcome table opened or used for Wave3 selection,DEVELOPMENT_DIAGNOSTIC_EVIDENCE_ONLY; never R4 confirmation or outcome-guided selection,controlled interaction headway contrast; candidate only before D4 matching
R-HLC,stage7_m6_locked_collection,Stage7 / Stage7 M6 locked collection,outputs/stage7_m6_5_locked_confirmation_context_v1,NOT_A_FROZEN_FAMILY_CANDIDATE,310,scenario token (log-clustered where log exists),257,AVAILABLE,CONTEXT_MATCH_NOT_EVALUABLE,AVAILABLE_DERIVABLE_WITH_FROZEN_DEFINITION,PARTIAL_RAW33_ONLY_MECHANISM_NOT_EVALUABLE,NOT_EVALUABLE_MECHANISM_VARIABLE,RAW_ASSET_PRESENT_READ_ONLY,historical representation/BDD artifacts may exist; not opened or used for Wave3 selection,DEVELOPMENT_DIAGNOSTIC_EVIDENCE_ONLY; never R4 confirmation or outcome-guided selection,mixed closed-loop historical collection; no frozen family-specific morphology label
R-TSB,stage7_m6_locked_collection,Stage7 / Stage7 M6 locked collection,outputs/stage7_m6_5_locked_confirmation_context_v1,NOT_A_FROZEN_FAMILY_CANDIDATE,310,scenario token (log-clustered where log exists),257,AVAILABLE,CONTEXT_MATCH_NOT_EVALUABLE,AVAILABLE_DERIVABLE_WITH_FROZEN_DEFINITION,PARTIAL_RAW33_ONLY_MECHANISM_NOT_EVALUABLE,NOT_EVALUABLE_MECHANISM_VARIABLE,RAW_ASSET_PRESENT_READ_ONLY,historical representation/BDD artifacts may exist; not opened or used for Wave3 selection,DEVELOPMENT_DIAGNOSTIC_EVIDENCE_ONLY; never R4 confirmation or outcome-guided selection,mixed closed-loop historical collection; no frozen family-specific morphology label
R-IP,stage7_m6_locked_collection,Stage7 / Stage7 M6 locked collection,outputs/stage7_m6_5_locked_confirmation_context_v1,NOT_A_FROZEN_FAMILY_CANDIDATE,310,scenario token (log-clustered where log exists),257,AVAILABLE,CONTEXT_MATCH_NOT_EVALUABLE,AVAILABLE_DERIVABLE_WITH_FROZEN_DEFINITION,PARTIAL_RAW33_ONLY_MECHANISM_NOT_EVALUABLE,NOT_EVALUABLE_MECHANISM_VARIABLE,RAW_ASSET_PRESENT_READ_ONLY,historical representation/BDD artifacts may exist; not opened or used for Wave3 selection,DEVELOPMENT_DIAGNOSTIC_EVIDENCE_ONLY; never R4 confirmation or outcome-guided selection,mixed closed-loop historical collection; no frozen family-specific morphology label
R-HLC,stage7l_pure_lateral,Stage7L pure lateral development,outputs/stage7l_e_prospective_bdd_v1/contexts/dose0,CANDIDATE_SOURCE_PREMATCH_ONLY,80,scenario token (log-clustered where log exists),79,AVAILABLE,CONTEXT_MATCH_NOT_EVALUABLE,AVAILABLE_DERIVABLE_WITH_FROZEN_DEFINITION,PARTIAL_RAW33_ONLY_MECHANISM_NOT_EVALUABLE,NOT_EVALUABLE_MECHANISM_VARIABLE,RAW_ASSET_PRESENT_READ_ONLY,historical representation/BDD artifacts may exist; not opened or used for Wave3 selection,DEVELOPMENT_DIAGNOSTIC_EVIDENCE_ONLY; never R4 confirmation or outcome-guided selection,controlled pure-lateral dose contrast; candidate only before D4 matching
R-TSB,stage7l_pure_lateral,Stage7L pure lateral development,outputs/stage7l_e_prospective_bdd_v1/contexts/dose0,NOT_A_FROZEN_FAMILY_CANDIDATE,80,scenario token (log-clustered where log exists),79,AVAILABLE,CONTEXT_MATCH_NOT_EVALUABLE,AVAILABLE_DERIVABLE_WITH_FROZEN_DEFINITION,PARTIAL_RAW33_ONLY_MECHANISM_NOT_EVALUABLE,NOT_EVALUABLE_MECHANISM_VARIABLE,RAW_ASSET_PRESENT_READ_ONLY,historical representation/BDD artifacts may exist; not opened or used for Wave3 selection,DEVELOPMENT_DIAGNOSTIC_EVIDENCE_ONLY; never R4 confirmation or outcome-guided selection,controlled pure-lateral dose contrast; candidate only before D4 matching
R-IP,stage7l_pure_lateral,Stage7L pure lateral development,outputs/stage7l_e_prospective_bdd_v1/contexts/dose0,NOT_A_FROZEN_FAMILY_CANDIDATE,80,scenario token (log-clustered where log exists),79,AVAILABLE,CONTEXT_MATCH_NOT_EVALUABLE,AVAILABLE_DERIVABLE_WITH_FROZEN_DEFINITION,PARTIAL_RAW33_ONLY_MECHANISM_NOT_EVALUABLE,NOT_EVALUABLE_MECHANISM_VARIABLE,RAW_ASSET_PRESENT_READ_ONLY,historical representation/BDD artifacts may exist; not opened or used for Wave3 selection,DEVELOPMENT_DIAGNOSTIC_EVIDENCE_ONLY; never R4 confirmation or outcome-guided selection,controlled pure-lateral dose contrast; candidate only before D4 matching
