field,frozen_source,v2_1_realization,status
slot_assignment_order,tools.stage5d_context_core.assign_stage5d_slots,"strict lane-ID/projected-arc/slot-order/tie-break equivalent; geometric fallback forbidden",CONFORMANT
velocity,official_tracked_object_velocity,missing_or_nonfinite_FAIL_CLOSED,CONFORMANT
traffic_density,median_per_frame_legal_projected_dynamic_vehicle_count,"family corridor and abs(projected route distance)<=50m",CONFORMANT
stable_presence,at_least_8_of_10_one_stable_track_ID,unchanged_frozen_canonicalizer,CONFORMANT
HLC_target_gaps,pre_context_target_front_and_rear,iterations_0_to_9_only,CONFORMANT
TSB_front_gap_relative_speed_THW,pre_context_current_lane_front,iterations_0_to_9_only,CONFORMANT
route_signal,route_relevant_signal,anchor_iteration_10_only,CONFORMANT
static_stop_control,route_map_query,anchor_iteration_10_only,CONFORMANT
observed_slow_lead,stable_front_frozen_rule,pre_context_at_least_8_of_10_one_ID_then_median_relative_speed,CONFORMANT
temporal_ordering,ten_nominal_samples,simulation_iteration_index_plus_preserved_actual_time_us,VERSIONED_CONFORMANT
