global_row,source_group,task_key,task_value,embedding_distance_to_opposite_centroid,dominant_task_metrics,shard_id,local_row,scenario_id,target_agent_id,start,window_len,split
99407,B,task_hesitation,hesitation,61.939632415771484,"hesitation_lc_duration: Δ=0.7102, d=0.319; hesitation_abort_like_score: Δ=-0.05256, d=-0.125; hesitation_evidence_count: Δ=0.04265, d=0.0947",20,4980,651e63ba367b8863,46,0,80,test
99407,B,task_queue_approach,queue_approach,61.87493133544922,"queue_stop_smoothness_score: Δ=-8.91, d=-3.17; queue_rms_jerk: Δ=13.47, d=3.04; queue_peak_decel: Δ=4.349, d=2.46",20,4980,651e63ba367b8863,46,0,80,test
99407,B,task_lead_brake_response,lead_brake_response,61.862281799316406,"lead_brake_max_jerk_after_lead_brake: Δ=44.98, d=3.2; lead_brake_peak_decel_after_lead_brake: Δ=4.564, d=2.41; lead_brake_min_thw_after_lead_brake: Δ=-1.533, d=-0.85",20,4980,651e63ba367b8863,46,0,80,test
99407,B,task_yield_conflict,yield_conflict,61.830841064453125,"conflict_accel_score: Δ=3.024, d=1.78; assertiveness_score: Δ=1.392, d=0.896; yield_conflict_score: Δ=1.951, d=0.779",20,4980,651e63ba367b8863,46,0,80,test
99407,B,task_following,following,61.81922912597656,"following_max_abs_jerk: Δ=47.17, d=3.45; following_aggressiveness_score: Δ=4.722, d=3.22; following_rms_jerk: Δ=13.96, d=2.99",20,4980,651e63ba367b8863,46,0,80,test
157700,B,task_hesitation,hesitation,60.85986328125,"hesitation_lc_duration: Δ=0.7102, d=0.319; hesitation_abort_like_score: Δ=-0.05256, d=-0.125; hesitation_evidence_count: Δ=0.04265, d=0.0947",33,1428,226e22a0f02cca53,987,0,80,test
157700,B,task_lane_change,lane_change,60.83683776855469,"lc_sharpness_score: Δ=0.308, d=1.39; lc_rms_lateral_accel: Δ=0.7646, d=1.32; lc_max_lateral_speed: Δ=1.904, d=1.19",33,1428,226e22a0f02cca53,987,0,80,test
150576,B,task_hesitation,hesitation,58.42314910888672,"hesitation_lc_duration: Δ=0.7102, d=0.319; hesitation_abort_like_score: Δ=-0.05256, d=-0.125; hesitation_evidence_count: Δ=0.04265, d=0.0947",31,4306,f5a1dc6555701a74,2668,0,80,test
96735,B,task_hesitation,hesitation,56.53409194946289,"hesitation_lc_duration: Δ=0.7102, d=0.319; hesitation_abort_like_score: Δ=-0.05256, d=-0.125; hesitation_evidence_count: Δ=0.04265, d=0.0947",20,2308,4c5df74dbac4ecb8,36,0,80,test
19414,B,task_hesitation,hesitation,55.60279083251953,"hesitation_lc_duration: Δ=0.7102, d=0.319; hesitation_abort_like_score: Δ=-0.05256, d=-0.125; hesitation_evidence_count: Δ=0.04265, d=0.0947",3,4408,ebde0d6cf5951317,478,0,80,test
49047,B,task_hesitation,hesitation,50.36775588989258,"hesitation_lc_duration: Δ=0.7102, d=0.319; hesitation_abort_like_score: Δ=-0.05256, d=-0.125; hesitation_evidence_count: Δ=0.04265, d=0.0947",10,1362,d1e3246b77a656eb,8,0,80,test
14813,B,task_hesitation,hesitation,45.048580169677734,"hesitation_lc_duration: Δ=0.7102, d=0.319; hesitation_abort_like_score: Δ=-0.05256, d=-0.125; hesitation_evidence_count: Δ=0.04265, d=0.0947",2,4807,4ca840e2c3bcb14c,2469,0,80,test
45090,B,task_yield_conflict,yield_conflict,40.984283447265625,"conflict_accel_score: Δ=3.024, d=1.78; assertiveness_score: Δ=1.392, d=0.896; yield_conflict_score: Δ=1.951, d=0.779",9,2418,8231ed8f910219e0,1275,0,80,test
45090,B,task_hesitation,hesitation,40.92943572998047,"hesitation_lc_duration: Δ=0.7102, d=0.319; hesitation_abort_like_score: Δ=-0.05256, d=-0.125; hesitation_evidence_count: Δ=0.04265, d=0.0947",9,2418,8231ed8f910219e0,1275,0,80,test
152391,B,task_hesitation,hesitation,40.690975189208984,"hesitation_lc_duration: Δ=0.7102, d=0.319; hesitation_abort_like_score: Δ=-0.05256, d=-0.125; hesitation_evidence_count: Δ=0.04265, d=0.0947",32,1120,920e946cd40d366d,74,0,80,test
101977,B,task_hesitation,hesitation,40.65970993041992,"hesitation_lc_duration: Δ=0.7102, d=0.319; hesitation_abort_like_score: Δ=-0.05256, d=-0.125; hesitation_evidence_count: Δ=0.04265, d=0.0947",21,2546,b99575f12393d9ac,248,0,80,test
101977,B,task_lane_change,lane_change,40.343875885009766,"lc_sharpness_score: Δ=0.308, d=1.39; lc_rms_lateral_accel: Δ=0.7646, d=1.32; lc_max_lateral_speed: Δ=1.904, d=1.19",21,2546,b99575f12393d9ac,248,0,80,test
81324,B,task_lane_change,lane_change,39.663368225097656,"lc_sharpness_score: Δ=0.308, d=1.39; lc_rms_lateral_accel: Δ=0.7646, d=1.32; lc_max_lateral_speed: Δ=1.904, d=1.19",16,3603,669e0814d244c460,101,0,80,test
122721,B,task_lane_change,lane_change,38.93587875366211,"lc_sharpness_score: Δ=0.308, d=1.39; lc_rms_lateral_accel: Δ=0.7646, d=1.32; lc_max_lateral_speed: Δ=1.904, d=1.19",25,3272,20fd292180e5cf04,641,0,80,test
157652,B,task_lane_change,lane_change,34.0618782043457,"lc_sharpness_score: Δ=0.308, d=1.39; lc_rms_lateral_accel: Δ=0.7646, d=1.32; lc_max_lateral_speed: Δ=1.904, d=1.19",33,1380,e655846fd3016b5d,995,0,80,test
