item,status,blocks_protocol_freeze,blocks_r0_execution,blocks_rbr_training,limitation_type,limits_evidence_level,evidence,next_action
owner_numerical_parameters,18_OF_18_APPROVED,false,false,false,NONBLOCKING_LIMITATION,false,r0_scientific_owner_approval_v0.1.json,none
r0_audit_holdout,NOT_AVAILABLE,false,false,false,EVIDENCE_LEVEL_LIMITATION,true,protocol v0.6 §26.2,execute R0 as development diagnostic
confirmatory_capacity,19_RUNNABLE_LOGS_VS_150_REFERENCE_GAP_131,false,false,false,EXECUTION_CAPACITY_LIMITATION,true,r0_audit_sample_size_proposal_v0.1.csv,retain for future confirmatory acquisition planning
d1_semantic_gate_definition,FROZEN_9_CORE_TARGETS_3_FAMILIES,false,false,false,NONBLOCKING_LIMITATION,false,r0_d1_core_semantic_targets_v0.1.json,execute frozen D1
d1_semantic_gate_execution,NOT_EXECUTED,false,false,true,TRAINING_AUTHORIZATION_BLOCKER,false,protocol-only phase,execute frozen D1 before candidate authorization
d4_family_specific_contract,FROZEN_FMATCH_4_4_3,false,false,false,NONBLOCKING_LIMITATION,false,r0_d4_family_specific_feature_roles_v0.1.csv,implement/SHA-bind family mechanisms before D4 execution
d4_development_fallback,FROZEN_CONDITIONALLY_NONBLOCKING_FOR_RBR_DEVELOPMENT,false,false,false,NONBLOCKING_LIMITATION,false,r0_d4_development_balance_fallback_v1.json,evaluate activation conditions
d4_activation_evidence,NOT_EXECUTED,false,false,true,TRAINING_AUTHORIZATION_BLOCKER,false,protocol-only phase,demonstrate D4 activation conditions before training authorization
d4_r4_physical_margins,DEFERRED_TO_PRE_UNBLIND_R4_UPGRADE_GATE,false,false,false,NONBLOCKING_LIMITATION,false,protocol v0.6 §26.5,freeze before any R4 outcome
future_r4_reserved_source_or_generator,FROZEN_PROSPECTIVE_ACQUISITION_RULE_V1,false,false,false,NONBLOCKING_LIMITATION,false,r0_future_r4_reserved_source_or_generator_freeze_v0.1.json,bind acquired source/SHA before rollout
future_r4_confirmation_roster,NOT_FROZEN_BY_DESIGN,false,false,false,NONBLOCKING_LIMITATION,false,R0_Future_R4_Reserved_Pool_Proposal_v0.2.md,form outcome-blind in R1
sap,READY_FOR_R0_V1_PROTOCOL_FREEZE,false,false,false,NONBLOCKING_LIMITATION,false,r0_statistical_analysis_plan_v0.3.json,freeze SHA binding
protocol_definition,READY_FOR_R0_V1_PROTOCOL_FREEZE,false,false,false,NONBLOCKING_LIMITATION,false,R0_Representation_Measurement_Audit_Protocol_v0.6_zh.md,create final frozen manifest/SHA binding
rbr_training,NOT_AUTHORIZED,false,false,true,TRAINING_AUTHORIZATION_BLOCKER,false,candidate authorization manifest remains absent/not authorized,complete R0 decisions and candidate-specific authorization
r4_confirmation,NOT_READY_FINAL_ROSTER_AND_PHYSICAL_MARGINS_PENDING,false,false,false,NONBLOCKING_LIMITATION,false,two-stage R4 contract,freeze roster/margins before unblinding
