document,section,current_rule,v2.3_concept,impact_class,scientific_reason,recommended_action,owner_approval_required,historical_result_affected,future_execution_affected
S1_Scope_and_Claim_Freeze_Draft_v0.1.md,Level 1/Level 2 questions,BDD utility is Primary; Level 2 is conditional,Role correction does not alter the dissertation question,KEEP_AS_IS,The estimand and claim hierarchy do not depend on an absolute untouched-session rule,Preserve verbatim,false,false,false
S1_Scope_and_Claim_Freeze_Draft_v0.1.md,HLC state,HLC closed by scope; impossibility not established,No HLC reopening,KEEP_AS_IS,Validation-role correction supplies no new HLC evidence,Preserve verbatim,false,false,false
S1_Scope_and_Claim_Freeze_Draft_v0.1.md,TSB state,Frozen development candidate pending fresh qualification,TSB remains unqualified but freshness is no longer the qualification's sole role,OWNER_AMENDMENT_REQUIRED,Candidate state stays frozen; qualification purpose must separate mechanism validity from exposure status,Amend wording prospectively; keep candidate and negative limitations,true,false,true
S1_Scope_and_Claim_Freeze_Draft_v0.1.md,RBR training architecture boundary,Encoder selection is U-only,U-only remains the core anti-bias firewall,KEEP_AS_IS,TSB or nuPlan outcomes must not select encoder architecture/objective/checkpoint/seed,Preserve verbatim,false,false,false
S1_TSB_Applicability_Contract_Draft_v0.1.md,Frozen TSB parameters and thresholds,"Generator, initial-speed screen, mechanism, F_match and safety are frozen",Exposure correction does not change physical/measurement contracts,KEEP_AS_IS,Data role does not justify retuning generator or gates,Preserve hashes and thresholds,false,false,false
S1_TSB_Applicability_Contract_Draft_v0.1.md,Full denominator and failure retention,LOW_SPEED_ENDSTOP and mechanism/safety failures remain in denominator,No survivor selection remains mandatory,KEEP_AS_IS,Outcome-independent inclusion protects the controlled estimand,Preserve verbatim,false,false,false
S1_TSB_Fresh_Qualification_Protocol_Draft_v0.1.md,Q scientific purpose,Q is completely fresh TSB qualification,Q becomes benchmark engineering/mechanism qualification,DEPRECATE_AND_REPLACE,Absolute historical untouchedness is not necessary for Claim B controlled utility,Replace Q role with prospective B qualification while retaining all gates,true,false,true
S1_TSB_Fresh_Qualification_Protocol_Draft_v0.1.md,Whole-roster all-pass and stop rules,All fixed pairs pass; first scientific failure stops,Benchmark qualification still needs a predefined denominator,KEEP_AS_IS,Role correction does not license cherry-picking or top-up,Preserve unless Owner separately changes the benchmark claim,false,false,false
S1_TSB_Fresh_Qualification_Protocol_Draft_v0.1.md,Q20/Q12 role,20 fresh pairs; Q12 pre-execution fallback,Size may remain a B engineering choice but no longer determines V/C availability,OWNER_AMENDMENT_REQUIRED,Old capacity conclusion was driven by strict exposure exclusion,Rejustify size and label under B; do not execute before amendment,true,false,true
S1_TSB_Fresh_Qualification_Protocol_Draft_v0.1.md,Q to D transition,Passing Q becomes D,B evidence remains B; method development and V/C roles require explicit prospective bindings,DEPRECATE_AND_REPLACE,Automatic role conversion obscures claim-relevant adaptation,Replace with U/B/V/C transition rules,true,false,true
