representation,candidate,seed,dose,dose_role,source_domain,target_domain,probe_contract,source_oof_primary_reference,transfer_degradation_source_minus_target,probe_selection_parameter,formal_hypothesis_status,evidence_level,target_id,semantic_family,target_kind,n_rows,n_log_clusters,uncertainty_contract,primary_metric,primary_point_estimate,ci95_lower,ci95_upper,mae,nrmse_sd,spearman,calibration_slope,auroc,macro_f1,class_support
old64,old64,NOT_APPLICABLE,dose0,PRIMARY,Waymo Dynamic-v2 validation R0_DEVELOPMENT,nuPlan Stage7L historical development,"Waymo-only deterministic reconstruction: original last-view embeddings, same 5-fold scenario GroupKFold, ridge/logistic grid, seed and preprocessing; no nuPlan fitting/selection",0.8648257412742769,10.722503518325373,1.0,INCONCLUSIVE_NO_FROZEN_CROSS_DOMAIN_NUMERICAL_GATE,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.mean_speed,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-9.857677777051096,-14.48349098988858,-7.007018093829414,2.4075292141642217,3.2950990542093113,0.45993905297702764,0.17606943327735217,nan,nan,NOT_APPLICABLE
old64,old64,NOT_APPLICABLE,dose0,PRIMARY,Waymo Dynamic-v2 validation R0_DEVELOPMENT,nuPlan Stage7L historical development,"Waymo-only deterministic reconstruction: original last-view embeddings, same 5-fold scenario GroupKFold, ridge/logistic grid, seed and preprocessing; no nuPlan fitting/selection",0.6627768973344081,7.1395594134287865,0.1,INCONCLUSIVE_NO_FROZEN_CROSS_DOMAIN_NUMERICAL_GATE,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.end_minus_start_speed,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-6.476782516094379,-11.85025542617787,-3.774161618475782,4.735348710764965,2.7343705886536998,0.6898030942334741,0.22188996298593536,nan,nan,NOT_APPLICABLE
old64,old64,NOT_APPLICABLE,dose0,PRIMARY,Waymo Dynamic-v2 validation R0_DEVELOPMENT,nuPlan Stage7L historical development,"Waymo-only deterministic reconstruction: original last-view embeddings, same 5-fold scenario GroupKFold, ridge/logistic grid, seed and preprocessing; no nuPlan fitting/selection",0.7704677315598866,20.74331743171775,100.0,INCONCLUSIVE_NO_FROZEN_CROSS_DOMAIN_NUMERICAL_GATE,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.rms_accel,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-19.972849700157862,-36.59899233864998,-12.044289559776292,0.5119132216470399,4.579612396279609,-0.34081106422878577,-0.0634525364196435,nan,nan,NOT_APPLICABLE
old64,old64,NOT_APPLICABLE,dose0,PRIMARY,Waymo Dynamic-v2 validation R0_DEVELOPMENT,nuPlan Stage7L historical development,"Waymo-only deterministic reconstruction: original last-view embeddings, same 5-fold scenario GroupKFold, ridge/logistic grid, seed and preprocessing; no nuPlan fitting/selection",0.9251043994848664,56.60919087463614,10.0,INCONCLUSIVE_NO_FROZEN_CROSS_DOMAIN_NUMERICAL_GATE,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.rms_yaw_rate,lateral,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-55.684086475151275,-133.65968418844906,-21.010833528864605,0.02979788922733177,7.528883481310577,-0.08879512423816222,-0.010687322939269162,nan,nan,NOT_APPLICABLE
old64,old64,NOT_APPLICABLE,dose0,PRIMARY,Waymo Dynamic-v2 validation R0_DEVELOPMENT,nuPlan Stage7L historical development,"Waymo-only deterministic reconstruction: original last-view embeddings, same 5-fold scenario GroupKFold, ridge/logistic grid, seed and preprocessing; no nuPlan fitting/selection",0.8659183333811538,28.130399057672406,100.0,INCONCLUSIVE_NO_FROZEN_CROSS_DOMAIN_NUMERICAL_GATE,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.heading_change_abs_total,lateral,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-27.264480724291253,-51.83069355339945,-15.452322154887616,0.24709269041644114,5.316434963797757,-0.010337552742616034,0.018240422801229835,nan,nan,NOT_APPLICABLE
old64,old64,NOT_APPLICABLE,dose0,PRIMARY,Waymo Dynamic-v2 validation R0_DEVELOPMENT,nuPlan Stage7L historical development,"Waymo-only deterministic reconstruction: original last-view embeddings, same 5-fold scenario GroupKFold, ridge/logistic grid, seed and preprocessing; no nuPlan fitting/selection",0.9896798604076514,0.0423114393550198,10.0,INCONCLUSIVE_NO_FROZEN_CROSS_DOMAIN_NUMERICAL_GATE,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.lane_change_count_proxy,lateral,categorical,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",balanced_accuracy,0.9473684210526316,0.8963355242318657,0.9795952840595697,nan,nan,nan,nan,0.9901315789473684,0.7222222222222222,class_0=4; class_1=76
old64,old64,NOT_APPLICABLE,dose0,PRIMARY,Waymo Dynamic-v2 validation R0_DEVELOPMENT,nuPlan Stage7L historical development,"Waymo-only deterministic reconstruction: original last-view embeddings, same 5-fold scenario GroupKFold, ridge/logistic grid, seed and preprocessing; no nuPlan fitting/selection",0.5599802102191224,-0.03416896259943514,1.0,INCONCLUSIVE_NO_FROZEN_CROSS_DOMAIN_NUMERICAL_GATE,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.mean_front_distance,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.5941491728185575,0.46844548851794354,0.692986034300649,12.631998558383865,0.6370642253191138,0.8664434025027953,1.5243169634293987,nan,nan,NOT_APPLICABLE
old64,old64,NOT_APPLICABLE,dose0,PRIMARY,Waymo Dynamic-v2 validation R0_DEVELOPMENT,nuPlan Stage7L historical development,"Waymo-only deterministic reconstruction: original last-view embeddings, same 5-fold scenario GroupKFold, ridge/logistic grid, seed and preprocessing; no nuPlan fitting/selection",0.6867622563554483,0.17409972180564348,1.0,INCONCLUSIVE_NO_FROZEN_CROSS_DOMAIN_NUMERICAL_GATE,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.mean_rel_speed,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.5126625345498048,0.4271826324840977,0.5906297131894319,5.965597344880383,0.6980955990766559,0.8838341041587391,1.9980105108235318,nan,nan,NOT_APPLICABLE
old64,old64,NOT_APPLICABLE,dose0,PRIMARY,Waymo Dynamic-v2 validation R0_DEVELOPMENT,nuPlan Stage7L historical development,"Waymo-only deterministic reconstruction: original last-view embeddings, same 5-fold scenario GroupKFold, ridge/logistic grid, seed and preprocessing; no nuPlan fitting/selection",0.5653747980946089,0.17820023079443859,1.0,INCONCLUSIVE_NO_FROZEN_CROSS_DOMAIN_NUMERICAL_GATE,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,raw33.front_pressure_score,interaction,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,0.3871745673001703,0.02659314043739584,0.615806111742456,3.1373796363521462,0.7828316758408731,0.7035623687166395,0.8215637908719958,nan,nan,NOT_APPLICABLE
A_seed3407,A,3407,dose0,PRIMARY,Waymo Dynamic-v2 validation R0_DEVELOPMENT,nuPlan Stage7L historical development,"Waymo-only deterministic reconstruction: original last-view embeddings, same 5-fold scenario GroupKFold, ridge/logistic grid, seed and preprocessing; no nuPlan fitting/selection",0.9088109253928247,19.65807275459419,0.01,INCONCLUSIVE_NO_FROZEN_CROSS_DOMAIN_NUMERICAL_GATE,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,ego13.mean_speed,longitudinal,continuous,80,79,"5,000 log-cluster Poisson bootstrap; development diagnostic only",R2,-18.749261829201366,-30.456829763731623,-10.75805592145416,2.722322853776457,4.444014157178324,0.34556962025316457,0.1141518808010566,nan,nan,NOT_APPLICABLE
